機構名稱,保存庫類別,保存庫設置地點
"三軍總醫院附設民眾診療服務處","皮膚","臺北市內湖區成功路二段325號醫療大樓4樓西側編號H04055室"
"三軍總醫院附設民眾診療服務處","硬骨;;軟骨;;韌帶","臺北市內湖區成功路二段325號醫療大樓4樓開刀房骨材室"
"訊聯生物科技股份有限公司","周邊血液幹細胞;;臍帶血","臺北市內湖區新湖一路36巷28號2樓"
"臺北榮民總醫院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;皮膚;;肌腱;;羊膜","臺北市北投區石牌路二段201號中正樓3樓267室"
"臺北榮民總醫院","周邊血液幹細胞;;臍帶血;;骨髓","臺北市北投區石牌路二段201號台北榮民總醫院中正樓2F輸血醫學科"
"醫療財團法人辜公亮基金會和信治癌中心醫院","臍帶血;;周邊血液幹細胞","臺北市北投區立德路125號地下1樓北區之臨床病理實驗區"
"行天宮醫療志業醫療財團法人恩主公醫院","硬骨","新北市三峽區復興路399號5樓開刀房器械室"
"衛生福利部雙和醫院（委託台北醫學大學興建經營）","硬骨","新北市中和區中正路291號醫療大樓3樓開刀房骨骼保存庫"
"衛生福利部臺北醫院","硬骨","新北市新莊區思源路 127 號急診大樓3樓手術室骨頭銀行"
"長庚醫療財團法人林口長庚紀念醫院","周邊血液幹細胞","桃園縣龜山鄉復興街5號醫學大樓地下1樓幹細胞移植實驗室"
"秀傳醫療財團法人彰濱秀傳紀念醫院","硬骨;;軟骨;;韌帶","彰化縣鹿港鎮鹿工路六號二樓開刀房五房旁"
"彰化基督教醫療財團法人彰化基督教醫院","硬骨;;軟骨;;眼角膜;;心瓣膜;;韌帶;;鞏膜;;肌腱;;血管;;羊膜","彰化縣彰化市旭光路235號彰化基督教醫院教學研究大樓B棟7樓人體器官保存庫"
"戴德森醫療財團法人嘉義基督教醫院","硬骨;;韌帶;;肌腱;;羊膜;;鞏膜;;眼角膜","嘉義市東區中庄里忠孝路539號B棟3樓開刀房"
"戴德森醫療財團法人嘉義基督教醫院","周邊血液幹細胞","嘉義市東區中庄里忠孝路539號C棟2樓血庫"
"佛教慈濟醫療財團法人大林慈濟醫院","周邊血液幹細胞;;骨髓","嘉義縣大林鎮民生路2號大愛樓2樓造血幹細胞保存庫"
"國立成功大學醫學院附設醫院","血管","臺南市勝利路138號住院大樓3樓手術室器官組織庫房"
"國立成功大學醫學院附設醫院","硬骨","臺南市勝利路138號住院大樓3樓手術室器官組織庫房"
"國立成功大學醫學院附設醫院","眼角膜;;鞏膜;;羊膜","臺南市勝利路138號住院大樓3樓手術室器官組織庫房"
"國立陽明大學附設醫院","硬骨;;韌帶","宜蘭縣宜蘭市校舍路169號三樓手術室"
"財團法人羅許基金會羅東博愛醫院","硬骨","宜蘭縣羅東鎮南昌街81號住院大樓手術室3樓骨銀行"
"三軍總醫院附設民眾診療服務處","眼角膜;;鞏膜;;羊膜","臺北市內湖區成功路二段325號醫療大樓2樓H02185室"
"三軍總醫院附設民眾診療服務處","周邊血液幹細胞","臺北市內湖區成功路二段325號醫療大樓3樓周邊血液幹細胞實驗室(H03123)"
"生寶生物科技股份有限公司","周邊血液幹細胞;;臍帶血","新北市汐止區新台五路一段97號6樓之2"
"國立臺灣大學醫學院附設醫院","硬骨;;軟骨;;眼角膜;;筋膜;;心瓣膜;;韌帶;;周邊血液幹細胞;;鞏膜;;皮膚;;肌腱;;血管;;羊膜;;骨髓;;骨粉","臺北市常德街1號五東2樓第九共同研究室"
"臺北醫學大學附設醫院","眼角膜","臺北市信義區吳興街252號第三醫療大樓三樓中央手術室"
"臺北醫學大學附設醫院","硬骨;;軟骨;;肌腱;;韌帶","臺北市信義區吳興街252號第三醫療大樓三樓中央手術室"
"宣捷幹細胞生技股份有限公司","臍帶血","新北市五股區五權路7巷2號7樓細胞儲存中心"
"台灣永生細胞股份有限公司","臍帶血","新北市林口區文化一路一段15巷4號1樓"
"台灣尖端先進生技醫藥股份有限公司","周邊血液幹細胞;;臍帶血","新北市汐止區康寧街169巷25號4樓儲存區"
"佛教慈濟醫療財團法人台北慈濟醫院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","新北市新店區建國路289號6樓開刀房"
"敏盛綜合醫院","硬骨","桃園縣桃園市經國路168號6樓手術室"
"財團法人信望愛臍帶血基金會","臍帶血","桃園縣中壢市中北路200號中原大學全人教育村1樓102室"
"再生緣生物科技股份有限公司","周邊血液幹細胞;;臍帶血","新竹市食品路331號6B1A1室"
"中國醫藥大學附設醫院","周邊血液幹細胞;;臍帶血;;骨隨;;皮膚;;眼角膜;;硬骨;;軟骨;;韌帶;;肌腱","臺中市北區五常里13鄰學士路2號急重症中心大樓2樓人體器官保存庫"
"雷家有限公司","硬骨;;軟骨;;韌帶;;肌腱;;皮膚;;心瓣膜;;血管;;筋膜;;心包膜;;骨粉","臺中市中港路二段13-13號3樓"
"佛教慈濟醫療財團法人台中慈濟醫院","硬骨;;軟骨;;筋膜;;韌帶;;肌腱","臺中市潭子區豐興路一段88號第一院區感恩樓3樓手術室骨骼銀行庫"
"國立成功大學醫學院附設醫院斗六分院","硬骨","雲林縣斗六市莊敬路345號3樓開刀房"
"奇美醫療財團法人奇美醫院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","臺南市永康區中華路901號第一醫療大樓3樓手術室人體器官保存區"
"高雄榮民總醫院","硬骨","高雄市左營區大中一路386號醫療大樓2樓手術室"
"寶建醫療社團法人寶建醫院","硬骨","屏東縣屏東市中山路123號A棟5樓中央手術室器官保存庫"
"佛教慈濟醫療財團法人花蓮慈濟醫院","周邊血液幹細胞;;骨髓","花蓮縣花蓮市中央路三段707號大愛樓2樓檢驗醫學科血庫"
"佛教慈濟醫療財團法人花蓮慈濟醫院","硬骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","花蓮縣花蓮市中央路三段707號合心樓2樓開刀房組織庫"
"佛教慈濟醫療財團法人花蓮慈濟醫院","臍帶血","花蓮縣花蓮市中央路三段701號福田樓九樓東側臍帶血庫H903室"
"佛教慈濟醫療財團法人大林慈濟醫院","硬骨;;軟骨;;韌帶;;肌腱","嘉義縣大林鎮民生路2號大愛樓2樓人體器官保存庫"
"佛教慈濟醫療財團法人關山慈濟醫院","硬骨;;韌帶;;肌腱","臺東縣關山鎮和平路125之5號2樓開刀房骨骼組織庫"
"財團法人私立高雄醫學大學附設中和紀念醫院","硬骨;;眼角膜;;周邊血液幹細胞;;鞏膜;;皮膚;;血管;;羊膜;;骨髓","高雄市三民區十全一路100號C棟3樓人體器官保存庫"
