衛署醫器陸輸字第000165號	Each ml Contains :	PHMB ( COSMOCIL CQ)		0.0001000000	MG	
衛署醫器陸輸字第000165號	Each ml Contains :	POLOXAMER 237		0.0500000000	MG	
衛署醫器陸輸字第000165號	Each ml Contains :	SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE		0.1200000000	MG	
衛署醫器陸輸字第000165號	Each ml Contains :	SODIUM PHOSPHATE MONOBASIC (MONOHYDRATE)		0.0100000000	MG	
衛署醫器陸輸字第000165號	Each ml Contains :	EDETATE DISODIUM (EQ TO DISODIUM EDETATE)( EQ TO E.D.T.A. DISODIUM) (EQ TO EDTA -2NA)		0.0200000000	MG	
衛署醫器陸輸字第000165號	Each ml Contains :	SODIUM CHLORIDE		0.7900000000	MG	
衛署醫器陸輸字第000165號	Each ml Contains :	POTASSIUM CHLORIDE		0.1400000000	MG	
衛署醫器陸輸字第000165號	Each ml Contains :	WATER PURIFIED ( EQ TO AQUEOUS PURIFIED OR PURIFIED WATER )			Q.S.	
衛署醫器製字第000108號	EACH PIECE CONTAINS:**	MERBROMIN	(2%) 30		GM	
衛署醫器製字第000109號	EACH ROLL CONTAINS: *PLASTIC FILM=1/2 IN	RUBBER	(L100)1.89		GM	
衛署醫器製字第000109號	EACH ROLL CONTAINS: *PLASTIC FILM=1/2 IN	RESIN	(P115\SYN) 0.945		GM	
衛署醫器製字第000109號	EACH ROLL CONTAINS: *PLASTIC FILM=1/2 IN	ZINC (OXIDE,CARBONATE,ACETATE)	0.700	0.7000000000	GM	
衛署醫器製字第000109號	EACH ROLL CONTAINS: *PLASTIC FILM=1/2 IN	RUBBER	(SOLVENT)4.20		GM	
衛署醫器製字第000110號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	RUBBER	(SYN.) 400		GM	
衛署醫器製字第000110號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	RESIN	(SYN.) 200		GM	
衛署醫器製字第000110號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	ZINC OXIDE	150	150.0000000000	GM	
衛署醫器製字第000110號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	TOLUENE	250	250.0000000000	GM	
衛署醫器製字第000111號	EACH PIECE CONTAINS:**	BENZETHONIUM CHLORIDE	(SOL'N) 0.08		GM	
衛署醫器製字第000112號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	RUBBER	(SYN.) 400		GM	
衛署醫器製字第000112號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	RESIN	(SYN.) 200		GM	
衛署醫器製字第000112號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	ZINC OXIDE	150	150.0000000000	GM	
衛署醫器製字第000112號	EACH CONTAINS:*FABRIC CLOTH=2YDS * 36IN	TOLUENE	250	250.0000000000	GM	
衛署醫器製字第000113號	EACH PIECE CONTAINS:**	BENZETHONIUM CHLORIDE	(SOL'N) 0.8		GM	
衛署醫器製字第000118號	EACH PIECE CONTAINS:**	MERBROMIN	2	2.0000000000	MG	
衛署醫器製字第000119號	EACH PIECE CONTAINS:**	MAFENIDE (HOMOSULFAMINE)	2	2.0000000000	MG	
衛署醫器製字第000120號	EACH PIECE CONTAINS: **	MERBROMIN	(SOL'N)0.01		GM	
衛署醫器製字第000121號	EACH PIECE CONTAINS: **	ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL)	0.2	0.2000000000	MG	
衛署醫器製字第000122號	EACH M**2 CONTAINS:	RUBBER	100	100.0000000000	GM	
衛署醫器製字第000122號	EACH M**2 CONTAINS:	RESIN	70	70.0000000000	GM	
衛署醫器製字第000122號	EACH M**2 CONTAINS:	ZINC (OXIDE,CARBONATE,ACETATE)	200	200.0000000000	GM	
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	MAFENIDE (HOMOSULFAMINE)	2	2.0000000000	MG	
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	ADHESIVE PLASTER				
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	POLYISOBUTYLENE	100	100.0000000000	MG	
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	ZINC (OXIDE,CARBONATE,ACETATE)	50	50.0000000000	MG	
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	ALUMINUM HYDROXIDE (ALUMINA HYDRATED)	50	50.0000000000	MG	
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	LIQUID PARAFFIN (EQ TO LIQUID PETROLATUM)( EQ TO MINERAL OIL)	50	50.0000000000	MG	
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	PICCOLYTE S-155 (TERPENE RESINE)	70	70.0000000000	MG	
衛署醫器製字第000124號	EACH PIECE CONTAINS:**	HEPTANE	0.6	0.6000000000	ML	
衛署醫器製字第000125號	EACH PIECE CONTAIN:**	BENZETHONIUM CHLORIDE	(1:750)  0.8		MG	
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	MERBROMIN	2	2.0000000000	MG	
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	ADHESIVE PLASTER				
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	POLYISOBUTYLENE	10	10.0000000000	MG	
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	ZINC (OXIDE,CARBONATE,ACETATE)	50	50.0000000000	MG	
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	ALUMINUM HYDROXIDE (ALUMINA HYDRATED)	50	50.0000000000	MG	
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	LIQUID PARAFFIN (EQ TO LIQUID PETROLATUM)( EQ TO MINERAL OIL)	50	50.0000000000	MG	
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	PICCOLYTE S-155 (TERPENE RESINE)	70	70.0000000000	MG	
衛署醫器製字第000126號	EACH PIECE CONTAINS:**	HEPTANE	0.6	0.6000000000	ML	
衛署醫器製字第000127號	EACH (300CM*1.2CM) (5.1GM) CONTAINS:	ZINC (OXIDE,CARBONATE,ACETATE)	1.1	1.1000000000	GM	
衛署醫器製字第000127號	EACH (300CM*1.2CM) (5.1GM) CONTAINS:	RUBBER	(NATURAL) 1.9		GM	
衛署醫器製字第000127號	EACH (300CM*1.2CM) (5.1GM) CONTAINS:	RESIN	1.1	1.1000000000	GM	
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL)	(10.2% SOL'N) 1		MG	
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	ADHESIVE PLASTER				
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	POLYISOBUTYLENE	100	100.0000000000	MG	
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	ZINC (OXIDE,CARBONATE,ACETATE)	50	50.0000000000	MG	
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	LIQUID PARAFFIN (EQ TO LIQUID PETROLATUM)( EQ TO MINERAL OIL)	50	50.0000000000	MG	
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	ALUMINUM HYDROXIDE (ALUMINA HYDRATED)	50	50.0000000000	MG	
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	PICCOLYTE S-155 (TERPENE RESINE)	70	70.0000000000	MG	
衛署醫器製字第000128號	EACH PIECE CONTAINS:**	HEPTANE	0.6	0.6000000000	ML	
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	MERBROMIN	* 0.143		MG	
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	ADHESIVE PLASTER	(CM*CM)			
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	POLYISOBUTYLENE	7.31	7.3100000000	MG	
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	ZINC OXIDE	3.65	3.6500000000	MG	
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	ALUMINUM HYDROXIDE (ALUMINA HYDRATED)	3.65	3.6500000000	MG	
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	LIQUID PARAFFIN (EQ TO LIQUID PETROLATUM)( EQ TO MINERAL OIL)	3.65	3.6500000000	MG	
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	PICCOLYTE S-155 (TERPENE RESINE)	5.12	5.1200000000	MG	
衛署醫器製字第000130號	EACH CM2 OF ABSORBENT GAUZE CONTAINS:	HEPTANE	0.441	0.4410000000	MG	
衛署醫器製字第000163號	EACH PIECE CONTAINS:**	MERBROMIN	(20%SOL'N) 0.1		ML	
衛署醫器製字第000164號	EACH PIECE CONTAINS:**	ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL)	(0.2%SOL'N) 0.1		ML	
衛署醫器製字第000165號	EACH PIECE CONTAINS:**	BORIC ACID	(2%SOL'N) 0.05		ML	
衛署醫器製字第000165號	EACH PIECE CONTAINS:**	MAFENIDE (HOMOSULFAMINE)	(10%SOL'N) 0.05		ML	
衛署醫器製字第000166號	EACH ROLL CONTAINS:	RUBBER	(NATUR.) 45		%	
衛署醫器製字第000166號	EACH ROLL CONTAINS:	RESIN	35	35.0000000000	%	
