工作地址,發證日期起,發證日期迄,職類等級,任職單位
"臺北市北投區光明路236號","1040717","1080716","中餐烹調丙級","日勝生加賀屋國際溫泉飯店"
"臺北市北投區光明路236號","1040717","1080716","中餐烹調丙級","日勝生加賀屋國際溫泉飯店"
"高雄市大樹區學城路一段153號","1040718","1080717","中餐烹調丙級","義大皇家酒店股份有限公司"
"高雄市鼓山區蓬萊路23號","1040718","1080717","中餐烹調乙級","便宜坊烤鴨股份有限公司"
"高雄市小港區明聖街135巷10弄12號","1040718","1080717","中餐烹調丙級","淨園國際開發有限公司"
"臺北市萬華區環河南路1段77號","1040720","1080719","中餐烹調丙級","豪景大飯店"
"臺北市內湖區新湖三路268號3樓","1040720","1080719","中餐烹調丙級","福容大飯店股份有限公司"
"新北市板橋區莒光路167號2樓之9","1040720","1080719","中餐烹調丙級","海釣船餐館"
"新北市板橋區莒光路167號2樓之9","1040720","1080719","中餐烹調丙級","海釣船餐館"
"彰化縣和美鎮柑竹路450巷3號","1040721","1080720","中餐烹調丙級","阿味外燴"
"苗栗縣銅鑼鄉中平村7鄰中平99之6號","1040721","1080720","西餐烹調丙級","卡卡松法式餐廳"
"臺中市西區健行路1049號","1040721","1080720","中餐烹調丙級","日華金典國際酒店股份有限公司"
"臺中市西區健行路1049號","1040721","1080720","中餐烹調丙級","日華金典國際酒店股份有限公司"
"臺中市西區健行路1049號","1040721","1080720","中餐烹調丙級","日華金典國際酒店股份有限公司"
"臺中市西區健行路1049號","1040721","1080720","中餐烹調丙級","日華金典國際酒店股份有限公司"
"桃園市平鎮區民族路二段5號","1040721","1080720","中餐烹調丙級","廣興燒臘"
"新北市新莊區中正路82號","1040721","1080720","西餐烹調丙級","雲朗觀光股份有限公司-新莊翰品酒店"
"臺北市內湖區新湖三路268號3樓","1040721","1080720","中餐烹調丙級","福容大飯店股份有限公司"
"臺南市永康區鹽行路206號","1040716","1080715","中餐烹調丙級","嘉南王餐飲店"
"臺北市中山區林森北路369號","1040721","1080720","中餐烹調丙級","華泰大飯店"
"臺南市永康區中正北路143號","1040716","1080715","中餐烹調丙級","府城牛肉湯"
"臺南市台南市新市區社內里75之52號","1040716","1080715","中餐烹調丙級","一粒一餐飲有限公司"
"臺南市台南市南區永華路一段243號","1040716","1080715","中餐烹調丙級","鄉野炭燒羊肉爐"
"臺北市北投區幽雅路30號","1040721","1080720","中餐烹調丙級","北投麗禧溫泉酒店股份有限公司"
"臺南市仁和路121號1樓","1040716","1080715","中餐烹調丙級","竇爸雞腿王中式速食"
"臺南市台南市南區永華路一段243號","1040716","1080715","中餐烹調丙級","鄉野炭燒羊肉爐"
"臺北市北投區幽雅路30號","1040721","1080720","中餐烹調丙級","北投麗禧溫泉酒店股份有限公司"
"臺南市永康區鹽行路206號","1040716","1080715","中餐烹調丙級","嘉南王餐飲店"
"新竹市新竹市光復路一段227號","1031026","1071025","中餐烹調丙級","老爺大酒店股份有限公司新竹分公司"
"臺南市南區新孝路191號3樓","1040716","1080715","中餐烹調丙級","翰林國際企業股份有限公司"
"臺南市永康區鹽行路206號","1040716","1080715","中餐烹調丙級","嘉南王餐飲店"
"臺南市永康區鹽行路206號","1040716","1080715","中餐烹調丙級","嘉南王餐飲店"
"臺南市永康區中正路509-1號","1040716","1080715","中餐烹調丙級","銘峵魯味"
"臺南市永康區鹽行路206號","1040716","1080715","中餐烹調丙級","嘉南王餐飲店"
