年度,季別,優良事蹟,公告日期,編號,姓名
"98","4","98年度FDA優良廚師表揚活動","1030217","98-001","陳文博"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-002","鄭志平"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-003","胡永輝"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-004","黃森山"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-005","黃秀林"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-006","呂瑞義"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-007","周武雄"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-008","劉川水"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-009","張智泉"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-010","趙殷富"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-011","曾忠全"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-012","陳楓洲"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-013","林榮裕"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-014","許榮展"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-015","許堂仁"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-016","鄭博文"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-017","葉宗奇"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-018","陳正忠"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-019","柯仁全"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-020","許燕斌"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-021","黃寶元"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-022","李機福"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-023","黃威嵐"
"98","4","98年度FDA優良廚師表揚活動","1030217","98-024","洪維澤"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-001","林明璋"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-002","洪廷瑋"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-003","李耀堂"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-004","陳慧琦"
