審查機關,產品類別,廣告品名,申請廠商,廣告核准字號,核准起始日期,核准結束日期,廣告類別
"臺南市","化粧品","綠迷雅晶鑽麗妍-微晶修護精華露,綠迷雅晶鑽麗妍-深效極潤精華霜","臺鹽實業股份有限公司","南市衛粧廣字1051110015","1051203","1061203","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","綠迷雅頂級時空賦活精華露,綠迷雅EX頂級時空膠原素","臺鹽實業股份有限公司","南市衛粧廣字1051110016","1051209","1061209","電影、電視(秒數:30秒);;電台(秒數:30秒秒);;網路"
"臺南市","化粧品","玻尿酸胜肽安瓶","臺鹽實業股份有限公司","南市衛粧廣字1051110017","1051209","1061209","電台(秒數:360秒秒);;網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","頂極101金緻抗老精華","臺鹽實業股份有限公司","南市衛粧廣字1051110018","1051212","1061212","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"桃園縣","醫療器材","寶兒樂噴霧器","星捷科技有限公司","桃衛器字10511002","1051214","1061214","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等);;學術性醫療刊物"
"臺北市","醫療器材","“波士頓科技”宜諾自膨式支架系統,“波士頓科技”瑪思丹氣球擴張導管,“波士頓科技” 楚培斯慢性完全阻塞系統,“波士頓科技”勝利導線,＂波士頓科技＂奧芙柔重置導管系統","荷商波士頓科技有限公司台灣分公司","北市衛器廣字105120100","1051122","1061222","學術性醫療刊物"
"臺北市","化粧品","Olay® 新生高效緊緻護膚霜,Olay 新生活膚露,Olay 新生高效緊緻精華露","寶僑家品股份有限公司","北市衛粧廣字105120156","1051122","1061204","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","Olay® 輕透隔離防曬乳液,Olay® 高效隔離防曬乳(加強型)","寶僑家品股份有限公司","北市衛粧廣字105120157","1051122","1061204","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","京城之霜尊榮奢顏全能精華霜","塞席爾商美之本國際有限公司台灣分公司","北市衛粧廣字105120295","1051122","1061204","電影、電視"
"臺北市","醫療器材","“亞培＂賽恩斯征艾諾莉茉斯冠狀動脈塗藥支架系統,“亞培”賽恩斯征長型艾諾莉茉斯冠狀動脈塗藥支架系統","美商亞培股份有限公司台灣分公司","北市衛器廣字105120111","1051122","1061216","學術性醫療刊物"
"臺北市","化粧品","青春煉金素","必昂國際股份有限公司","北市衛粧廣字105120194","1051122","1061222","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","藥品","愛斯飛特糖衣錠","佳洋藥品股份有限公司","北市衛藥廣字105120152","1051122","1061222","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","OLAY 水凝晚安凍膜,Olay® 長效保濕凝露","寶僑家品股份有限公司","北市衛粧廣字105120363","1051122","1061211","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","多元修護粉嫩氣色霜","寶僑家品股份有限公司","北市衛粧廣字105120364","1051122","1061210","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","Olay 多元修護日霜","寶僑家品股份有限公司","北市衛粧廣字105120365","1051122","1061210","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","Olay® 新生高效緊緻護膚霜","寶僑家品股份有限公司","北市衛粧廣字105120366","1051122","1061210","電影、電視"
"新北市","化粧品","1.絲蘭德 蓓蒂 護手霜2.Patia 帕蒂亞 細緻毛孔控油膏3.波娜卡 護髮乳霜4.波娜卡 護髮膏5.絲蘭德 沐浴精6.迪奧婕 花香香氛洗護髮組：洗髮精+護髮霜7.絲蘭德 魔綺護手霜","台灣千冠莉有限公司","北衛粧廣字10512015","1051206","1061206","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","化粧品","1.杏仁酸童顏機能化妝水2.杏仁酸童顏機能美容液(滋潤型)3.杏仁酸童顏機能美容液(清爽型)4.杏仁酸童顏機能美容霜5.杏仁酸全效能淨化沐浴晶露6.杏仁酸全效能淨化洗髮晶露7.魔刷三合一泡沫露(洋甘菊)","亞柏哈生醫有限公司","北衛粧廣字10511138","1051224","1061224","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","化粧品","1.柔敏蜂姿美妍精萃2.柔敏蜂姿美妍霜","美力雅有限公司","北衛粧廣字10511134","1051219","1061219","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","醫療器材","＂斯摩迪樂＂動力式熱膚墊(未滅菌)","伸揚電器有限公司","北衛器廣字10511018","1051222","1061222","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等);;學術性醫療刊物"
"新北市","化粧品","蘇菲娜 iP 土台美容液","花王(台灣)股份有限公司","北衛粧廣字10511192","1051205","1061205","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","白鳥激活醒膚露、白鳥激活保濕乳液、白鳥激活卸妝乳、白鳥深層潔面乳、白鳥角質更新凝露、白鳥歲月無痕精華露、白鳥蜂膠胎盤霜、白鳥撫紋精華凝露、白鳥潤顏粉柔霜、白鳥熊果敷面紙膜","維儂企業有限公司","中市衛粧廣字10511874","1051220","1061220","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1. Bbi@花漾精靈心機眼影-01五股系列米粉、2. Bbi@花漾精靈心機眼影-02五股系列紅豆、3. Bbi@花漾精靈心機眼影-03五股系列薏米、4. Bbi@花漾精靈心機眼影-04五股系列肉桂、5. Bbi@花漾精靈心機眼影-05五股系列黑芝麻、6. Bbi@花漾精靈心機眼影-06天生麗質系列天生清純、7.Bbi@花漾精靈心機眼影-07天生麗質系列天生魅力、8. Bbi@花漾精靈心機眼影-08天生麗質系列天生俏麗、9. Bbi@花漾精靈心機眼影-09天生麗質系列天生情調、10. Bbi@花漾精靈心機眼影-10天生麗質系列天生深沉","成心科技股份有限公司","衛部粧廣字10512020","1051206","1061206","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1. Bbi@超聚焦持久防水眼線液-01終極黑、2. Bbi@超聚焦持久防水眼線液-02 鑽石黑、3. Bbi@超聚焦持久防水眼線液-03 古銅棕、4. Bbi@超聚焦持久防水眼線液-04 可可棕、5. Bbi@超聚焦持久防水眼線液-05 閃閃淚光","成心科技股份有限公司","衛部粧廣字10512029","1051207","1061207","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1. Bbi@絕色完美防水眼線膠筆波希米亞系列-B1 深褐色辮髮、2. Bbi@絕色完美防水眼線膠筆波希米亞系列-B2波希米亞狂想曲、3.Bbi@絕色完美防水眼線膠筆波希米亞系列-B3 金銅色樂器、4. Bbi@絕色完美防水眼線膠筆波希米亞系列-B4 摩洛哥夕陽、5. Bbi@絕色完美防水眼線膠筆波希米亞系列-B5自由靈魂","成心科技股份有限公司","衛部粧廣字10512032","1051207","1061207","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1. Bbi@漾色微醺唇頰慕斯-01邂逅、2. Bbi@漾色微醺唇頰慕斯-02心動、 3. Bbi@漾色微醺唇頰慕斯-03親吻、4. Bbi@漾色微醺唇頰慕斯-04 魅力、5. Bbi@漾色微醺唇頰慕斯-05 美夢","成心科技股份有限公司","衛部粧廣字10512033","1051207","1061207","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1. Bbi@超持久抗暈柔細眼線液筆-01墨黑 、2. Bbi@超持久抗暈柔細眼線液筆-02深棕、3.Bbi@超持久抗暈柔細眼線液筆-03 巧克力棕、4. Bbi@超持久抗暈柔細眼線液筆-04 紅銅、5. Bbi@超持久抗暈柔細眼線液筆-05酒紅","成心科技股份有限公司","衛部粧廣字10512030","1051207","1061207","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","森田DR.JOU 六重玻尿酸深層極保濕面膜","森田生醫股份有限公司","衛部粧廣字10512025","1051207","1061207","電影、電視(秒數:15);;網路"
"衛福部","化粧品","森田DR.JOU 六重玻尿酸深層極保濕面膜","森田生醫股份有限公司","衛部粧廣字10512024","1051207","1061207","電影、電視(秒數:10);;網路"
"衛福部","化粧品","森田DR.JOU 六重玻尿酸深層極保濕面膜","森田生醫股份有限公司","衛部粧廣字10512026","1051207","1061207","電影、電視(秒數:5);;網路"
"衛福部","化粧品","森田藥粧玻尿酸複合精華液面膜","森田生醫股份有限公司","衛部粧廣字10512017","1051205","1061205","電影、電視(秒數:10);;網路"
"衛福部","化粧品","森田藥粧玻尿酸複合精華液面膜","森田生醫股份有限公司","衛部粧廣字10512027","1051207","1061207","電影、電視(秒數:15);;網路"
"衛福部","化粧品","森田藥粧玻尿酸複合精華液面膜","森田生醫股份有限公司","衛部粧廣字10512028","1051207","1061207","電影、電視(秒數:5);;網路"
"衛福部","化粧品","漢莉雅保濕化妝水","順瑛堂生物科技製藥股份有限公司","衛部粧廣字10512008","1051130","1061214","電影、電視(秒數:770)"
"臺北市","藥品","克菸貼片20,克菸貼片30,克菸咀嚼錠(清涼薄荷)2毫克,克菸咀嚼錠(清涼薄荷)4毫克","英商葛蘭素史克消費保健用品股份有限公司台灣分公司","北市衛藥廣字106020244","1060216","1070222","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"新北市","醫療器材","＂歐霈德亞太＂肢體裝具(未滅菌) ＂OPED Asia-Pacific＂ Limb orthosis(Non-Sterile)","歐霈德醫療器材股份有限公司","北衛器廣字10602018","1060302","1070302","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","藥品","金十字胃腸藥","新萬仁化學製藥股份有限公司","中市衛藥廣字10602005","1060328","1070328","電影、電視(秒數:15);;電台(秒數:15秒);;網路"
"臺中市","醫療器材","六甲村濕熱敷墊(未滅菌)","六甲村實業有限公司","中市衛器廣字10602007","1060308","1070308","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","醫療器材","六甲村束腹帶(未滅菌)","六甲村實業有限公司","中市衛器廣字10602008","1060308","1070308","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"桃園縣","醫療器材","安適康蕾寧皙卡疤痕護理矽膠筆","明基材料股份有限公司","桃衛器字10602003","1060216","1070216","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等);;學術性醫療刊物"
"桃園縣","醫療器材","美若康綻美矽水膠彩色日拋型軟性隱形眼鏡美若康高透氧矽水膠軟性隱形眼鏡","明基材料股份有限公司","桃衛器字10602004","1060225","1070225","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"桃園縣","藥品","張國周強胃散","張國周製藥股份有限公司","桃衛藥廣字10602006","1060216","1070216","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"桃園縣","醫療器材","美若康舒活日拋型軟性隱形眼鏡","明基材料股份有限公司","桃衛器字10602005","1060216","1070216","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","醫療器材","日安血糖檢測系統","厚美德生物科技股份有限公司","衛部器廣字10602007","1060217","1070224","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","藥品","曼秀雷敦止癢消炎乳膏","台灣曼秀雷敦股份有限公司","北市衛藥廣字106020028","1060217","1070216","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","醫療器材","＂科瑪＂舒喜瑪雙式灌洗洗鼻器(未滅菌)","嘉德藥品企業股份有限公司","北市衛器廣字106020051","1060217","1070216","電影、電視"
"臺北市","藥品","曼秀雷敦止癢消炎乳膏","台灣曼秀雷敦股份有限公司","北市衛藥廣字106020028","1060217","1070216","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","醫療器材","＂科瑪＂舒喜瑪雙式灌洗洗鼻器(未滅菌)","嘉德藥品企業股份有限公司","北市衛器廣字106020051","1060217","1070216","電影、電視"
"臺北市","藥品","舒立效口含錠舒緩蜂蜜檸檬,舒立效咳消配方口含錠","香港商香港利潔時有限公司臺灣分公司","北市衛藥廣字106040359","1060419","1070426","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","藥品","糖漸平膜衣錠 5毫克,糖倍平膜衣錠2.5/500毫克,糖倍平膜衣錠2.5/850毫克,糖倍平膜衣錠2.5/1000毫克","台灣百靈佳殷格翰股份有限公司","北市衛藥廣字106050147","1060419","1070430","學術性醫療刊物"
"臺北市","醫療器材","博士倫睛緻美彩色每日拋棄式隱形眼鏡","博士倫股份有限公司","北市衛器廣字106040386","1060419","1070427","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","藥品","舒立效口含錠舒緩蜂蜜檸檬,舒立效咳消配方口含錠","香港商香港利潔時有限公司臺灣分公司","北市衛藥廣字106050148","1060419","1070430","電影、電視"
"臺北市","醫療器材","‘銳意’吸鼻器(未滅菌)","銳意科技股份有限公司","北市衛器廣字106050371","1060419","1070524","網路"
"臺北市","醫療器材","“愛爾康”可舒諦視遠中近三焦點老花矯正軟式人工水晶體(可濾紫外線及部分藍光)","瑞士商愛爾康大藥廠股份有限公司台灣分公司","北市衛器廣字106050335","1060419","1070521","學術性醫療刊物"
"新北市","藥品","悠悠香港腳脫那黴外用噴液 1%","尼斯可股份有限公司新莊廠","北衛藥廣字10604007","1060512","1070512","電影、電視(秒數:5);;網路"
