編號,廠商名稱,廠商地址,劑型,第1次通過日期,第2次通過日期,第3次通過日期,是否在3年有效期限內
"1","花王(台灣)股份有限公司新竹廠","新竹縣湖口鄉鳳山村中華路6號","液劑、乳劑","98.03.12","101.02.15","104.02.10","Y"
"2","台塑生醫科技股份有限公司","彰化縣彰化市中山路3段359號","乳劑、液劑、油劑","98.03.23","101.02.22","104.01.22","Y"
"3","和康生物科技股份有限公司台南廠","台南市西港區港東里八份102號","液劑、乳劑","98.04.02","101.04.18","105.07.26","Y"
"4","瑩佳國際股份有限公司康寧廠","新北市汐止區康寧街169巷31之1號10樓之1","液劑、乳劑","98.06.09","101.05.21","","N"
"5","詠麗生化科技股份有限公司","新北市中和區永和路339號","液劑、油劑","98.07.21","101.09.21","","N"
"6","寶齡富錦生技股份有限公司第三廠","桃園市平鎮區興隆路266號","液劑、乳劑","98.09.24","101.09.10","104.12.21","Y"
"7","台灣資生堂股份有限公司","桃園縣中壢巿西園路148號","粉劑、液劑、乳劑、油劑、油膏劑、固劑","99.01.21","102.01.04","105.01.06","Y"
"8","伯慶股份有限公司","桃園市龜山區大坑村南上路386巷13號1、2樓","液劑、乳劑","99.03.30","102.04.19","105.01.11","Y"
"9","德林生物科技股份有限公司","雲林縣斗六市斗工二路29號","液劑、乳劑","99.06.08","102.07.05","105.07.21","Y"
"10","妮傲絲翠股份有限公司內湖廠","臺北市內湖區行忠路五十八號三樓","液劑、乳劑","99.07.12","102.07.01","105.12.06","Y"
"11","台灣糖業股份有限公司生物科技事業部大林生技廠","嘉義縣大林鎮大糖里大湖農場60號","液劑、乳劑","99.08.23","102.08.07","105.12.16","Y"
"12","統一化粧品企業股份有限公司","臺南巿安南區工業二路70號","液劑、乳劑、油劑、粉劑、油膏劑","99.08.30","102.08.20","105.08.25","Y"
"13","柏諦企業股份有限公司","南投縣南投市永豐里成功三路186號","液劑、乳劑","99.06.06","102.09.10","105.09.10","Y"
"14","美麗徠化粧品美容工業股份有限公司","嘉義縣民雄工業區新生街1-2號","液劑、乳劑","99.10.21","102.10.22","105.12.02","Y"
"15","紅粧國際美容有限公司大里廠","台中市大里區國中路161號3樓","液劑","99.11.22","102.01.22 102.11.27","105.12.29","Y"
"16","薇科生物科技股份有限公司","彰化縣線西鄉和線路788號","液劑、乳劑、油劑","100.03.24","","","N"
"17","安芳美容科技股份有限公司深坑廠","新北市深坑區北深路三段270巷2號7F","液劑、乳劑","100.07.07","103.07.04","106.08.29","Y"
