產品名稱,廠商名稱,遊戲平台,級別,情節,上市日期
數獨經典,王裕金,PC單機,普,棋牌益智,2014-03-21
動感遊戲派對,華星科藝股份有限公司,Xbox360,普,未涉及任何情節,2010-11-23
武林立志傳龍吟劍,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2009-11-24
健身工坊 日文版,華星科藝股份有限公司,Wii,普,未涉及任何情節,2011-07-29
跑跑小廚師,碩辣椒股份有限公司,手機遊戲,護,未涉及任何情節,2014-03-20
雷射超人:瘋狂兔子一代 日版,華星科藝股份有限公司,Wii,護,暴力,2010-03-24
雷射超人:瘋狂兔子二代日版,華星科藝股份有限公司,Wii,護,暴力,2010-03-24
雷射超人:瘋狂兔子 TV派對日版,華星科藝股份有限公司,Wii,護,暴力,2010-03-24
雷射超人:瘋狂兔子歸鄉記日版,華星科藝股份有限公司,Wii,護,暴力,2010-03-24
雷射超人:瘋狂兔子:時光旅行日版,華星科藝股份有限公司,Wii,護,暴力,2011-01-27
變形金剛:賽博坦殞落,華星科藝股份有限公司,Xbox360,輔12,"暴力,恐怖,不當言語",2012-08-21
伊甸之子,華星科藝股份有限公司,Xbox360,輔12,暴力,2011-06-14
勇敢傳說,華星科藝股份有限公司,Xbox,輔12,"暴力,恐怖,不當言語",2012-06-21
心靈殺手,台灣微軟,Xbox360,輔15,"暴力,菸酒,不當言語",2010-05-14
星際戰警3,華星科藝股份有限公司,Xbox360,輔15,"暴力,不當言語,反社會性",2012-05-23
星際戰警3,華星科藝股份有限公司,PS3,輔15,"暴力,不當言語,反社會性",2012-05-23
超級戰艦,華星科藝股份有限公司,Xbox360,輔15,"暴力,不當言語,反社會性",2012-05-08
超級戰艦,華星科藝股份有限公司,PS3,輔15,"暴力,不當言語,反社會性",2012-05-08
極道車魂:舊金山白金版,華星科藝股份有限公司,PS3,輔15,"暴力,不當言語",2012-05-01
阿帕契: 空中突襲,華星科藝股份有限公司,PS3,輔15,"暴力,恐怖,反社會性",2010-11-16
變形金剛 3,華星科藝股份有限公司,Xbox360,輔15,"暴力,恐怖,反社會性",2011-06-22
變形金剛 3,華星科藝股份有限公司,PS3,輔15,"暴力,恐怖,反社會性",2011-06-22
模擬市民 3 : 主程式,華星科藝股份有限公司,PC單機,輔15,"不當言語,虛擬戀愛或結婚",2011-08-10
模擬市民3: 世界歷險記,華星科藝股份有限公司,PC單機,輔15,"不當言語,虛擬戀愛或結婚",2011-08-10
模擬市民3:夜店人生,華星科藝股份有限公司,PC單機,輔15,"菸酒,不當言語,虛擬戀愛或結婚",2011-08-10
模擬市民3: 花樣年華,華星科藝股份有限公司,PC單機,輔15,"不當言語,虛擬戀愛或結婚",2011-08-10
魔獸世界潘達利亞的謎霧潘達利亞包,智凡迪科技股份有限公司,PC線上,輔15,"暴力,菸酒,不當言語",2012-09-27
亞洲娛樂城,亞娛線上科技股份有限公司,PC線上,輔15,"菸酒,棋牌益智",2009-05-31
蜘蛛人:驚奇再起,華星科藝股份有限公司,PS3,輔15,"暴力,恐怖,反社會性",2012-06-26
蜘蛛人:驚奇再起,華星科藝股份有限公司,Xbox360,輔15,"暴力,恐怖,反社會性",2012-06-26
冰與火之歌:權力遊戲,台灣萬代南夢宮娛樂股份有限公司,PC單機,限,"暴力,恐怖,不當言語",2012-05-30
冰與火之歌:權力遊戲,台灣萬代南夢宮娛樂股份有限公司,Xbox360,限,"暴力,恐怖,不當言語",2012-05-30
冰與火之歌:權力遊戲,台灣萬代南夢宮娛樂股份有限公司,PS3,限,"暴力,恐怖,不當言語",2012-05-30
火線獵殺:未來戰士,華星科藝股份有限公司,PS3,限,"暴力,不當言語,反社會性",2012-06-06
火線獵殺:未來戰士特別版,華星科藝股份有限公司,PS3,限,"暴力,不當言語,反社會性",2012-05-24
火線獵殺:未來戰士特別版,華星科藝股份有限公司,Xbox360,限,"暴力,不當言語,反社會性",2012-05-24
原型兵器2,華星科藝股份有限公司,PS3,限,"暴力,恐怖,反社會性",2012-04-24
