committee,lgno,name,term,sessionPeriod,isCoChairman,
內政委員會,00024,李正宗,4,1,N,
內政委員會,00044,林正二,4,1,N,
內政委員會,00054,林春德,4,1,N,
內政委員會,00076,邱鏡淳,4,1,N,
內政委員會,00098,翁金珠,4,1,N,
內政委員會,00103,許登宮,4,1,N,
內政委員會,00124,曹爾忠,4,1,N,
內政委員會,00126,陳定南,4,1,N,
內政委員會,00148,曾華德,4,1,N,
內政委員會,00156,黃木添,4,1,Y,
內政委員會,00161,黃義交,4,1,N,
內政委員會,00174,廖風德,4,1,N,
內政委員會,00183,鄭朝明,4,1,N,
內政委員會,00186,蔡中涵,4,1,N,
內政委員會,00189,蔡家福,4,1,Y,
內政委員會,00212,戴振耀,4,1,N,
內政委員會,00220,簡錫堦,4,1,Y,
經濟委員會,00028,李俊毅,4,1,N,
經濟委員會,00029,李嘉進,4,1,N,
經濟委員會,00037,吳克清,4,1,N,
經濟委員會,00056,林益世,4,1,N,
經濟委員會,00063,林豐喜,4,1,N,
經濟委員會,00074,邱垂貞,4,1,Y,
經濟委員會,00081,洪奇昌,4,1,N,
經濟委員會,00088,唐碧娥,4,1,N,
經濟委員會,00090,高揚昇,4,1,N,
經濟委員會,00095,徐成焜,4,1,N,
經濟委員會,00104,許舒博,4,1,Y,
經濟委員會,00137,陳超明,4,1,N,
經濟委員會,00149,曾蔡美佐,4,1,N,
經濟委員會,00175,廖婉汝,4,1,N,
經濟委員會,00209,謝言信,4,1,N,
經濟委員會,00216,鍾紹和,4,1,N,
財政委員會,00017,朱星羽,4,1,Y,
財政委員會,00042,余政道,4,1,N,
財政委員會,00064,林耀興,4,1,N,
財政委員會,00073,邱太三,4,1,N,
財政委員會,00102,許添財,4,1,N,
財政委員會,00107,郭廷才,4,1,N,
財政委員會,00117,張俊宏,4,1,N,
財政委員會,00132,陳振雄,4,1,N,
財政委員會,00140,陳勝宏,4,1,N,
財政委員會,00142,陳榮盛,4,1,N,
財政委員會,00169,楊瓊瓔,4,1,N,
財政委員會,00173,葉憲修,4,1,N,
財政委員會,00179,潘維剛,4,1,N,
財政委員會,00192,蔡豪,4,1,N,
財政委員會,00202,賴士葆,4,1,N,
財政委員會,00211,謝章捷,4,1,N,
財政委員會,00222,羅明才,4,1,Y,
教育及文化委員會,00005,王世勛,4,1,N,
教育及文化委員會,00013,瓦歷斯．貝林,4,1,N,
教育及文化委員會,00018,朱惠良,4,1,N,
教育及文化委員會,00031,李慶安,4,1,N,
教育及文化委員會,00047,林宗男,4,1,Y,
教育及文化委員會,00053,林政則,4,1,Y,
教育及文化委員會,00071,周慧瑛,4,1,N,
教育及文化委員會,00079,洪秀柱,4,1,N,
教育及文化委員會,00085,范巽綠,4,1,N,
教育及文化委員會,00099,翁重鈞,4,1,N,
教育及文化委員會,00101,許素葉,4,1,N,
教育及文化委員會,00110,章仁香,4,1,N,
教育及文化委員會,00123,曹啟鴻,4,1,N,
教育及文化委員會,00138,陳景峻,4,1,N,
教育及文化委員會,00157,黃秀孟,4,1,Y,
教育及文化委員會,00160,黃敏惠,4,1,N,
教育及文化委員會,00182,鄭逢時,4,1,N,
教育及文化委員會,00207,穆閩珠,4,1,N,
交通委員會,00015,伍澤元,4,1,N,
交通委員會,00050,林炳坤,4,1,Y,
交通委員會,00052,林建榮,4,1,N,
交通委員會,00060,林源山,4,1,N,
交通委員會,00092,郝龍斌,4,1,N,
交通委員會,00111,張川田,4,1,N,
交通委員會,00115,張秀珍,4,1,N,
交通委員會,00127,陳其邁,4,1,N,
交通委員會,00129,陳明文,4,1,N,
交通委員會,00133,陳根德,4,1,N,
交通委員會,00141,陳進丁,4,1,N,
交通委員會,00168,楊秋興,4,1,N,
交通委員會,00206,盧逸峰,4,1,N,
社會福利及衛生環境委員會,00021,沈富雄,4,1,N,
社會福利及衛生環境委員會,00026,李全教,4,1,N,
社會福利及衛生環境委員會,00034,李應元,4,1,Y,
社會福利及衛生環境委員會,00055,林重謨,4,1,N,
