smeetingDate,meetingRoom,meetingTypeName,jointCommittee,meetingName,meetingContent,legislatorNameList,
103/09/09,紅樓201會議室,程序委員會,無,第8屆第6會期第1次會議,審定本院第8屆第6會期第1次會議議事日程及處理人民請願案,,
103/09/16,紅樓201會議室,程序委員會,無,第8屆第6會期程序委員會第2次會議,審定本院第8屆第6會期第2次會議議事日程,,
103/09/17,群賢樓801會議室,社會福利及衛生環境委員會,無,立法院第8屆第6會期社會福利及衛生環境委員會第1次全體委員會議,選舉第8屆第6會期本會召集委員。,,
103/09/17,紅樓202會議室,內政委員會,無,立法院第8屆第6會期內政委員會第1次全體委員會議,選舉本會召集委員,,
103/09/17,紅樓201會議室,交通委員會,無,立法院第8屆第6會期交通委員會第1次全體委員會議,選舉本會召集委員,,
103/09/17,紅樓101會議室,經濟委員會,無,立法院第8屆第6會期經濟委員會第1次全體委員會議,選舉立法院第8屆第6會期本會召集委員,,
103/09/17,紅樓301會議室,外交及國防委員會,無,立法院第8屆第6會期外交及國防委員會第1次全體委員會議,選舉第8屆第6會期本會召集委員,,
103/09/17,九樓大禮堂,財政委員會,無,立法院第8屆第6會期財政委員會第1次全體委員會議,選舉立法院第8屆第6會期本會召集委員,,
103/09/17,紅樓302會議室,,無,立法院第8屆第6會期司法及法制委員會第1次全體委員會議,選舉第8屆第6會期本會召集委員,,
103/09/17,群賢樓101會議室,教育及文化委員會,無,立法院第8屆第6會期教育及文化委員會第1次全體委員會議,選舉第8屆第6會期本會召集委員,,
103/09/22,紅樓201會議室,交通委員會,無,立法院第8屆第6會期交通委員會第2次全體委員會議,一、邀請行政院公共工程委員會主任委員許俊逸列席報告業務概況，並備質詢。 二、處理103年度中央政府總預算有關行政院公共工程委員會單位預算動支1案。(報告詢答及處理)(9月22日、24日及25日三天一次會)。,李昆澤;楊麗環;管碧玲;李鴻鈞;羅淑蕾;葉宜津;林國正;蔡其昌;廖正井;王進士;黃偉哲;林岱樺;陳明文;許添財;蕭美琴;黃昭順;吳育昇;賴士葆;林德福;盧秀燕;賴振昌;李桐豪;江啟臣;鄭天財(Sra．Kacaw);吳育仁;蔣乃辛;邱文彥;邱議瑩;陳歐珀;邱志偉;王惠美;蘇清泉;陳亭妃;孔文吉;簡東明;陳怡潔;周倪安;何欣純;徐欣瑩;姚文智;盧嘉辰;高金素梅;徐耀昌;廖國棟;羅明才;陳根德;王進士;簡東明,
103/09/22,群賢樓101會議室,教育及文化委員會,無,立法院第8屆第6會期教育及文化委員會第2次全體委員會議, 103年9月22日（星期一）一、邀請文化部部長列席報告業務概況，並備質詢。二、處理文化部103年度預算解凍案。,陳碧涵;蔣乃辛;陳亭妃;許智傑;鄭麗君;孔文吉;何欣純;黃志雄;呂玉玲;高金素梅;潘維剛;段宜康;陳明文;許添財;陳淑慧;賴振昌;簡東明;管碧玲;邱志偉;黃昭順;李桐豪;吳育昇;李貴敏;林德福;賴士葆;王進士;吳育仁;江啟臣;邱文彥;黃偉哲;李昆澤;楊麗環;蘇清泉;陳歐珀;孫大千;王惠美;徐欣瑩;盧秀燕;陳怡潔;姚文智;盧嘉辰;羅明才;廖正井;薛凌;陳學聖;周倪安;廖國棟;徐耀昌,
103/09/22,紅樓302會議室,司法及法制委員會,無,立法院第8屆第6會期司法及法制委員會第2次全體委員會議,邀請法務部部長、衛生福利部次長、經濟部次長、行政院農業委員會副主任委員、行政院環境保護署副署長、內政部警政署副署長、行政院消費者保護處處長及司法院副秘書長就「如何強化食品安全相關法令及嚴懲處理機制」進行專題報告，並備質詢。,廖正井;李貴敏;高志鵬;柯建銘;謝國樑;呂學樟;林鴻池;尤美女;黃昭順;黃偉哲;賴士葆;林德福;管碧玲;邱志偉;盧秀燕;許添財;賴振昌;王進士;李桐豪;江啟臣;吳育昇;陳歐珀;鄭天財(Sra．Kacaw);吳育仁;田秋堇;蔣乃辛;邱文彥;楊麗環;陳明文;王惠美;陳亭妃;蘇清泉;孔文吉;簡東明;陳怡潔;周倪安;何欣純;徐欣瑩;姚文智;高金素梅;顏寬恒;蕭美琴;徐耀昌;廖國棟;羅明才,
103/09/22,紅樓101會議室,經濟委員會,無,立法院第8屆第6會期經濟委員會第2次全體委員會議,一、邀請經濟部部長列席報告業務概況，並備質詢。二、處理經濟部及所屬103年度預算凍結案等3案。（9月22日、24日、25日三天一次會）,林岱樺;丁守中;陳明文;黃偉哲;黃昭順;李慶華;王惠美;蘇震清;廖國棟;陳怡潔;羅明才;管碧玲;李貴敏;廖正井;許添財;吳育昇;陳亭妃;賴士葆;羅淑蕾;林德福;王進士;江啟臣;葉津鈴;盧秀燕;李桐豪;吳育仁;邱文彥;鄭天財(Sra．Kacaw);邱議瑩;蔣乃辛;葉宜津;陳歐珀;蘇清泉;李昆澤;楊麗環;邱志偉;蕭美琴;孔文吉;蔡其昌;簡東明;周倪安;何欣純;徐欣瑩;姚文智;鄭麗君;盧嘉辰;高金素梅;賴振昌;徐耀昌;楊瓊瓔,
103/09/22,紅樓301會議室,外交及國防委員會,無,立法院第8屆第6會期外交及國防委員會第2次全體委員會議,下午：一、邀請外交部部長林永樂及行政院環境保護署署長魏國彥報告「我國在國際社會推動環境外交之策略與成果，以及我國推動加入聯合國氣候變化綱要公約（UNFCCC）之策略、成果及跨部會整合機制」，並備質詢。二、處理院會交付外交部103年度中央政府總預算決議凍結案等7案：（一）凍結「領事事務管理」項下「印刷及製作護照」預算五分之一案。（二）凍結「國際合作」預算五分之一案。（三）凍結「國際會議及交流」預算五分之一案。（四）凍結「駐外使領單位基本行政工作維持」項下「駐泰國代表處業務費用」500萬元案。（五）凍結「駐外使領單位基本行政工作維持」中「辦公室、館長宿舍與事務機器等租金及大樓物業管理費等」1000萬元案。（六）凍結「駐外使領單位基本行政工作維持」中「駐美國代表處業務費」五分之一案。（七）凍結「國際事務活動」中「鞏固雙邊及多邊關係」600萬元案。【機密預算】,李桐豪;江啟臣;簡東明;陳鎮湘;林郁方;陳唐山;邱志偉,
