"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
1,"00090706","立達汽車貨運股份有限公司","基隆市中正區義二路216號","廖姿惠",13000000,"1021204"
2,"00145527","雨天煤氣有限公司","基隆市信義區東明路63之1號","黃華章",500000,"1021218"
3,"00146877","欣隆天然氣股份有限公司","基隆市信義區信一路57號4樓","潘恭孝",560402860,"1021216"
4,"00287308","利記企業股份有限公司","基隆市中正區信二路296之1號1樓","蔡陳白雪",10000000,"1021209"
5,"00663865","宏基企業股份有限公司","基隆市中正區信二路287號","林文章",2000000,"1021203"
6,"00690666","大耀汽車股份有限公司","臺北市中山區南京東路1段25號9樓","蔡耀中",50000000,"1021227"
7,"00817616","聖通通信有限公司","基隆市仁愛區忠二路31之3號","黃新添",3000000,"1021211"
8,"00831618","三榮報關股份有限公司","基隆市安樂區安一路100巷186-2號","許逢純",5000000,"1021219"
9,"00842452","益和報關有限公司","基隆市仁愛區忠一路26號3樓之3","蘇武雄",5000000,"1021206"
10,"00842875","勝發報關股份有限公司","基隆市仁愛區孝三路41號2樓","張傑龍",5000000,"1021209"
11,"00900797","佑易企業有限公司","基隆市孝一路二三巷三弄三○號","",1000000,"1021217"
12,"01073634","廣川國際有限公司","臺北市中山區民權東路1段55號6樓","何智崙",5000000,"1021220"
13,"01128461","全立興業有限公司","臺北市大同區民生西路362巷8號2樓","曾吳美佐",10000000,"1021230"
14,"01129460","湖寶實業有限公司","臺北市大同區敦煌路124號5樓","蔡文培",5000000,"1021223"
15,"01177434","優尼士國際股份有限公司","臺北市大安區仁愛路3段26之3號4樓","沈宏海",50000000,"1021206"
16,"01183597","孚佑實業有限公司","臺北市中山區民權西路20號7樓","李汪溪",42000000,"1021213"
17,"01185292","隆國興業股份有限公司","新北市永和區中正路316號13樓之1","吳文章",5000000,"1021216"
18,"01187263","中信房屋仲介股份有限公司","臺北市中山區敬業一路99號4樓","鄭余正全",100000000,"1021209"
19,"01505485","東順交通運輸股份有限公司","高雄市小港區店鎮里中鋼路90之12號","黃學人",15000000,"1021204"
20,"01508624","德技股份有限公司","臺北市內湖區內湖路1段308號4樓","程禮寰",80000000,"1021212"
21,"01511389","臺灣阿部有限公司","臺北市松山區光復南路240巷32號1樓","蘇華峰",6000000,"1021226"
22,"01511655","二誥打字印刷有限公司","臺北市松山區南京東路4段183號2樓之1","呂妙燕",1000000,"1021216"
23,"01516574","霈翰國際股份有限公司","臺北市萬華區成都路66號2樓","詹佳儒",7250000,"1021202"
24,"01519468","名弘實業有限公司","臺北市中山區龍江路288號4樓","孫永在",1000000,"1021219"
25,"01810470","大新交通工程器材有限公司","臺北市北投區自強街120巷25弄4號1樓","周李秀琴",10000000,"1021230"
26,"01856144","喬豊實業有限公司","新北市三峽區二鬮路110巷26號","王傑",10000000,"1021206"
27,"01863341","明冠電器行有限公司","新北市板橋區懷德街80之3號1樓","",1000000,"1021230"
28,"01884606","祐鋒實業股份有限公司","彰化縣芳苑鄉後寮村工區四路9號","謝陳文琴",10500000,"1021204"
29,"02082457","明營機械廠股份有限公司","新北市五股區中興路1段151巷41號","黃枝明",5000000,"1021212"
30,"02086947","天強企業股份有限公司","新北市樹林區三龍街24巷2號","梁錦宏",29500000,"1021219"
31,"02088712","德利贏精密工業股份有限公司","新北市新莊區化成路29巷64號","陳文權",20000000,"1021225"
32,"02358383","立鋒超硬切削工具有限公司","新北市中和區連勝街177巷2號1樓","林淑美",1000000,"1021206"
33,"02358476","貫源實業有限公司","新北市中和區新生街一一四巷二一號一樓","吳美慧",2000000,"1021211"
