"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00036611","中興食品股份有限公司","基隆市中正區港通里中正路12號","","7000000","0551031","1031119"
"2","01127006","美欣印刷設計有限公司","臺北市大同區承德路3段143巷15號2樓","","5000000","0740925","1031106"
"3","01681948","大崑崙股份有限公司","臺北市中山區長安東路2段63號9樓之2","","5000000","0741018","1031118"
"4","01984540","安亭企業有限公司","新北市樹林區三俊街五︱一一號二樓","","3000000","0740806","1031121"
"5","04206546","友興儀器股份有限公司","","","0","0620529","1031114"
"6","04212499","敬誠有限公司","臺北市大同區西寧北路55號3樓","","5000000","0621011","1031106"
"7","04253879","鉅鷹企業股份有限公司","臺北市松山區寶清街109之1號（2樓）","","10000000","0641023","1031124"
"8","04392443","國齊實業股份有限公司","","","0","0621013","1031124"
"9","04610291","成代有限公司","臺北市文山區公館街32號","","5000000","0621230","1031126"
"10","04634250","華隆西藥有限公司","臺北市中正區寧波西街50號","","1000000","0641208","1031121"
"11","04993240","寶竹國際有限公司","臺北市大同區長安西路249號4樓","","5000000","0650814","1031120"
"12","07208949","金和興銀樓有限公司","臺北市大同區延平北路2段134號1樓","","1000000","0610725","1031106"
"13","07731023","永豐廣告事業有限公司","臺北市大同區承德路3段293號3樓","","10000000","0731224","1031113"
"14","09462827","英碩實業股份有限公司","臺北市大安區仁愛路3段123巷5號5樓","","9000000","0730717","1031112"
"15","09498022","天群企業有限公司","臺北市大安區復興南路2段160巷22號1樓","","3000000","0741227","1031112"
"16","11949109","實惠貿易股份有限公司","臺北市大同區西寧北路132號2樓","","12000000","0530717","1031119"
"17","12308089","德高實業股份有限公司","","","0","0690508","1031114"
"18","12379632","泰陞企業有限公司","臺北市中山區林森北路50號4樓之1","","1000000","0690505","1031124"
"19","12455722","海柏企業股份有限公司","新北市三重區光復路1段83巷3號5樓","","5000000","0720818","1031104"
"20","12498026","偟伽股份有限公司","臺北市中山區中山北路3段27號1101室11樓","","2000000","0730606","1031124"
"21","12546441","上華貿易股份有限公司","臺北市松山區復興北路57號12樓之3","","80000000","0740327","1031118"
"22","12622783","郁祥食品股份有限公司","臺南市中西區文賢里和真街85號","","3000000","0890925","1031125"
"23","12665282","數位通投資股份有限公司","臺北市大安區大安路1段73號7樓之1","","15000000","0891116","1031114"
"24","12674727","廣豐國際有限公司","臺北市中山區松江路76號5樓","","3000000","0891220","1031107"
"25","12683824","合欣國際有限公司","臺北市大安區信義路3段150號6樓之1","","500000","0900205","1031111"
"26","12693246","翔威科技股份有限公司","臺北市松山區南京東路5段250巷2弄25號1樓","","29500000","0900313","1031111"
"27","12724965","至邦企業股份有限公司","臺中市南屯區工業區二十一路20號1樓","","5000000","0891220","1031120"
"28","12745928","順祥電子科技股份有限公司","臺北市大安區和平東路1段197號6樓之1","","20000000","0900209","1031128"
"29","12747101","耘暘科技股份有限公司","臺南市仁德區太子里32鄰太子路515號1樓","","5000000","0900213","1031127"
"30","12748002","翰葳藝品有限公司","苗栗縣卓蘭鎮新厝里仁愛路３之１５號","","3000000","0900214","1031114"
"31","12767078","豐弜有限公司","新北市汐止區翠峰街21巷3弄2號","","500000","0900319","1031121"
"32","12767632","台灣玉山柏有限公司","臺南市新化區武安里公園路18號2樓","","5000000","0900319","1031118"
