"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
1,"27680629","水圖騰股份有限公司","屏東縣長治鄉德和村園西二路7號","李昭儒",5000000,"1030108"
2,"28113650","安強股份有限公司","新竹市科技路5號5樓","黃光彩",15000000,"1030128"
3,"29186455","雷瓦迪恩科技有限公司","高雄市前鎮區復興四路12號之16","王高義",1000000,"1030102"
4,"54373478","大陸商福建德恩尚億貿易有限公司","嘉義市東區長竹里11鄰大雅路2段370號","蔡歡",0,"1030103"
5,"54373580","香港商翰竺有限公司","臺北市大安區忠孝東路4段221號12樓","何靄華",50000,"1030103"
6,"54374808","貝里斯商樂璽股份有限公司","臺北市大安區忠孝東路4段162號8樓之4","黃襄標",50000000,"1021231"
7,"54375026","香港商薰衣童話國際有限公司","臺北市信義區信義路五段127號9樓之14","陳志學",0,"1021231"
8,"54375031","大陸商廈門金圓投資集團有限公司","臺北市中山區新生北路1段67號1樓","陳俊斌",0,"1030102"
9,"54375047","雙國營造有限公司","金門縣金湖鎮山外里下莊新生街41號","洪媽國",3000000,"1021231"
10,"54375052","青海建設股份有限公司","金門縣金湖鎮市港一路211號","陳建功",2000000,"1030102"
11,"54375068","香港商恩思恩時尚有限公司","臺北市大安區忠孝東路4段285號5樓","PARK,  JONG  CHEOL",1500000,"1021231"
12,"54375074","日商歐思股份有限公司","臺北市中山區復興北路178號14樓之4、之5","長谷川義晃",0,"1021231"
13,"54375095","英屬維京群島商義鼎國際有限公司","新北市板橋區中山路1段156號4樓","王勗華",25000000,"1030102"
14,"54375102","兄妹旅行社有限公司","連江縣南竿鄉介壽村53號(1樓)","王永保",3000000,"1030103"
15,"54375124","香港商艾比有限公司","臺北市信義區基隆路1段398號9樓","TAYLOR, CHRISTOPHER  WILLIAM",250000,"1030102"
16,"54375139","香港商萬輝實業有限公司","新北市樹林區三俊街252巷25號","林廷慶",10000000,"1030113"
17,"54375150","貝里斯商東林國際有限公司","高雄市新興區興華路32號1樓","林邑疆",5000000,"1030102"
18,"54375166","聯騰建設有限公司","金門縣金城鎮金城新莊6巷1號4樓","陳浩",3000000,"1030102"
19,"54375172","英屬維京群島商伯星國際股份有限公司","彰化縣大村鄉過溝村過溝3巷1-10號","陳敏雄",3000000,"1030109"
20,"54375200","日商托馬斯不動產股份有限公司","臺中市西屯區大墩十八街195號3樓之2","平川憲",2000000,"1030102"
21,"54375222","香港商慳多啲有限公司","臺北市中正區中華路1段59號7樓","鄭漢文",100000,"1030103"
22,"54375237","貝里斯商低點有限公司","臺北市信義區信義路5段109號12樓之5","王美雲",20000000,"1030103"
23,"54375258","香港商山天大蓄股份有限公司","臺北市大安區金山南路2段148號3樓","張秋龍",0,"1030106"
24,"54375264","貝里斯商鑫泰比克有限公司","新北市土城區忠承路91號7樓","張雯鳳",0,"1030103"
25,"54375270","英屬維京群島商三龍有限公司","臺北市中正區忠孝東路1段85號18樓","廖浩欽",10000000,"1030103"
26,"54375320","英商祿祿有限公司","新北市新店區溪園路391-1號1樓","蔡怡如",0,"1030106"
27,"54375335","薩摩亞商金穩國際有限公司","臺中市西區土庫里美村路1段540號12樓之5","蔡傳忠",0,"1030108"
28,"54375341","韓商韓松化學股份有限公司","桃園縣蘆竹鄉南福街61號8樓之1","朴弘濬",0,"1030107"
29,"54375356","昱聲影音有限公司","金門縣金沙鎮大洋里東溪1號","官秉鋐",1000000,"1030108"
30,"54375362","美商創源工業電腦股份有限公司","臺北市大安區信義路4段6號6樓","廖秋香",1000000,"1030107"
31,"54375378","日商東芝技術服務國際股份有限公司","臺北市中山區民生東路3段8號12樓","石本浩二",5000000,"1030107"
32,"54375406","美商視野行動有限公司","臺北市信義區信義路5段8號14樓","李高慶",0,"1030108"
33,"54375412","貝里斯商利傑實業有限公司","新北市中和區連城路258號12樓之5","彭邵慧",15000000,"1030107"
34,"54375428","美商全球旅遊交易平台股份有限公司","臺北市松山區敦化北路168號15樓","羅伯特‧約翰‧迪萊克",0,"1030107"
35,"54375497","大陸商臨海市偉信貿易有限公司","臺北市萬華區新安里西藏路147號5樓","徐高偉",0,"1030114"
36,"54375503","英屬維京群島商三艾運動器材有限公司","臺中市南屯區五權西路2段666號13樓之3","亞倫斯托爾",0,"1030109"
37,"54375519","英屬維京群島商朝榮環球有限公司","臺中市南屯區干城街328號2樓之2","蔡蕭潔怡",100000,"1030114"
38,"54375525","英屬維京群島商群豐國際投資股份有限公司","臺北市中山區民權東路3段37號8樓之1","王俊雄",30000000,"1030108"
39,"54375530","英屬開曼群島商慧康生活科技股份有限公司","臺北市內湖區瑞光路586號5樓","鄧居義",4000000,"1030109"
40,"54375567","英屬維京群島商瑑王貿易有限公司","臺北市中山區中山北路3段47號2樓","周汝洵",1000000,"1030109"
41,"54375573","新加坡商寶麗來有限公司","臺北市信義區信義路5段8號14樓","林友生",1000000,"1030109"
42,"54375588","英屬維京群島商榛王有限公司","臺北市中山區中山北路3段47號2樓","周汝洵",1000000,"1030109"
43,"54375594","美商菲優立股份有限公司","臺北市松山區南京東路3段303巷6弄5號","鄭立恒",1000000,"1030109"
44,"54375623","薩摩亞商賈思琳有限公司","臺北市松山區民生東路4段54號8樓之5","蔡思真",5000000,"1030110"
