"業者/路線","下載-遠傳電信","下載-中華電信","下載-台灣大哥大","下載-威寶電信","下載-亞太電信","下載-平均","上傳-遠傳電信","上傳-中華電信","上傳-台灣大哥大","上傳-威寶電信","上傳-亞太電信","上傳-平均","階段"
"台北市","3.87","3.33","3.91","3.44","2.12","3.60","0.85","1.04","0.90","0.28","0.92","0.91","一"
"台南市","4.01","3.65","3.71","3.44","1.08","3.64","1.27","1.02","1.12","0.31","1.08","1.09","一"
"基隆市","4.11","3.84","4.30","0.54","0.87","3.76","0.86","1.07","1.07","0.18","0.78","0.96","一"
"新竹市","4.17","3.20","4.09","1.85","1.38","3.58","0.92","1.05","1.08","0.25","0.57","0.96","一"
"嘉義市","4.66","3.26","3.81","2.86","0.58","3.66","1.47","1.12","1.32","0.31","0.63","1.22","一"
"竹北市","4.02","2.50","4.19","3.00","1.92","3.41","0.86","1.17","1.09","0.27","0.91","1.01","一"
"彰化市","4.26","3.79","4.33","2.88","1.41","3.92","0.97","1.24","1.31","0.31","1.06","1.13","一"
"南投市","4.00","3.30","4.14","2.77","1.65","3.64","0.84","1.11","1.29","0.28","0.90","1.04","一"
"斗六市","4.24","3.71","4.23","2.64","0.75","3.82","0.96","1.17","1.20","0.30","0.58","1.06","一"
"台東市","4.92","2.88","3.44","2.62","0.41","3.48","1.49","0.82","1.29","0.31","0.46","1.10","一"
"新北市","3.43","3.55","3.49","3.33","1.52","3.38","0.58","1.03","0.61","0.30","0.91","0.75","二"
"台中市","4.00","3.67","3.68","3.09","1.52","3.63","0.96","1.13","1.01","0.31","0.96","1.01","二"
"高雄市","4.17","3.46","3.51","3.28","1.72","3.57","1.39","1.16","1.29","0.32","1.37","1.23","二"
"宜蘭市","4.09","4.29","4.14","1.42","0.70","3.88","0.97","1.13","1.31","0.27","0.75","1.08","二"
"八德市","3.91","4.71","4.43","2.49","1.48","4.14","1.13","1.22","1.40","0.29","0.84","1.19","二"
"中壢市","3.67","4.51","4.61","3.53","1.86","4.13","1.01","1.19","1.35","0.29","1.04","1.14","二"
"桃園市","3.32","4.31","4.18","3.28","2.04","3.84","0.86","1.23","1.29","0.31","1.01","1.10","二"
"平鎮市","3.51","3.98","4.52","1.50","1.19","3.76","1.05","1.21","1.39","0.22","0.60","1.14","二"
"楊梅市","3.82","4.72","4.69","0.62","1.58","4.12","1.00","1.25","1.41","0.21","0.86","1.16","二"
"苗栗市","3.44","3.46","4.45","1.23","0.83","3.51","0.90","1.15","1.31","0.25","0.64","1.06","二"
"太保市","4.71","2.90","3.15","3.64","0.62","3.38","1.24","1.17","1.35","0.31","0.66","1.18","二"
"朴子市","4.44","3.05","2.52","2.42","0.53","3.12","1.42","1.27","1.31","0.31","0.54","1.25","二"
