"業者/量測點","下載-遠傳電信","下載-中華電信","下載-台灣大哥大","下載-威寶電信","下載-亞太電信","下載-平均","上傳-遠傳電信","上傳-中華電信","上傳-台灣大哥大","上傳-威寶電信","上傳-亞太電信","上傳-平均","階段"
"基隆市","","","","","","","","","","","","",""
"七堵車站售票處","8.14","7.31","5.89","4.26","4.94","6.11","0.89","1.04","1.10","0.33","0.62","0.80","一"
"七堵區公所","7.56","3.90","4.79","2.54","4.45","4.65","0.78","1.04","1.02","0.31","0.54","0.74","一"
"百福水漾樂活會館大門口","5.51","4.05","3.06","0.33","1.54","2.90","0.90","1.04","0.99","0.21","0.42","0.71","一"
"外木山情人湖濱海大道地標","4.05","3.71","4.43","0.08","0.42","2.54","0.78","0.74","0.67","0.06","0.25","0.50","一"
"基隆市中山區公所","7.05","6.04","1.97","6.02","0.11","4.24","`","0.92","0.64","0.34","0.03","0.57","一"
"華興街KEELUNG地標觀景台座位區","1.30","5.96","3.67","2.16","0.32","2.68","0.73","1.09","0.66","0.30","0.34","0.62","一"
"和平島公園門口","8.56","8.97","8.81","0.33","1.62","5.66","0.90","1.17","1.24","0.79","0.64","0.95","一"
"海門天險中正公園","4.68","6.55","4.36","0.15","0.87","3.55","0.87","1.00","1.05","0.34","0.53","0.76","一"
"海科館大門口","6.67","7.43","8.21","5.67","1.42","5.88","0.80","1.09","1.09","1.34","0.57","0.98","一"
"碧砂公園(麥當勞)","8.11","7.74","2.22","0.34","2.56","4.19","0.88","0.95","1.08","0.27","0.62","0.80","一"
"基隆火車站(售票處)","6.83","7.34","3.32","3.80","1.80","4.62","1.00","0.62","0.80","0.33","0.74","0.70","一"
"基隆光華國宅(中庭)","5.22","6.61","4.73","5.68","0.54","4.55","1.77","1.50","1.47","0.34","0.44","1.10","一"
"基隆成功市場","5.87","6.51","5.81","4.40","1.10","4.74","1.69","1.30","0.64","0.33","0.67","0.92","一"
"基隆廟口夜市","7.02","3.00","3.23","5.65","0.98","3.98","1.67","0.62","1.15","0.33","0.85","0.91","一"
"長庚院區基隆分院(大廳)","8.96","0.85","10.07","0.26","0.94","4.22","1.02","0.78","0.64","0.25","0.60","0.66","一"
"基隆東帝士(入口處)","10.12","10.12","8.30","0.33","0.79","6.80","1.79","1.68","1.47","0.22","0.20","1.13","一"
"基隆情人湖停車場","3.87","5.26","4.55","0.33","1.08","3.21","1.51","1.36","0.90","0.28","0.59","0.97","一"
"信義區公所一樓服務台","5.00","6.74","3.63","4.40","0.67","4.09","1.43","1.66","1.21","0.38","0.77","1.09","一"
"基隆署立醫院服務台","6.98","2.90","3.01","5.62","1.42","3.99","1.15","0.85","1.51","0.38","0.89","0.96","一"
"暖暖區石頭族博物館","6.33","7.62","10.88","0.32","0.03","5.81","1.23","1.97","1.63","0.30","0.00","1.18","一"
"暖暖區暖暖火車站","4.01","3.88","8.00","5.78","1.82","4.70","1.88","1.01","1.58","0.39","0.83","1.14","一"
"暖暖區運動公園","3.51","6.09","5.80","0.33","0.98","3.34","1.03","1.64","1.60","0.30","0.72","1.11","一"
"暖暖區觀光夜市","7.25","4.03","6.12","0.33","1.83","3.91","1.16","0.53","1.59","0.26","0.79","0.91","一"
"台北市","","","","","","","","","","","","",""
"士林天文館大廳","8.56","1.04","1.62","0.97","0.40","2.52","2.02","0.39","0.73","0.25","0.37","0.76","一"
"士林夜市美食廣場B1","4.32","2.80","4.53","4.01","0.98","3.33","0.94","1.33","1.40","0.37","0.41","0.89","一"
"士林官邸福林路門口","6.17","4.80","6.11","5.43","0.61","4.62","1.93","1.68","1.44","0.39","0.30","1.15","一"
"天母新光三越美食街","9.73","8.71","5.99","5.42","1.00","6.17","1.96","1.81","1.60","0.39","0.52","1.26","一"
"故宮博物院門口","9.79","7.28","5.07","5.07","2.29","5.90","1.86","1.58","1.60","0.39","0.72","1.23","一"
"捷運士林站出入口","8.26","3.71","3.03","4.48","0.78","4.05","2.02","1.68","0.55","0.38","0.43","1.05","一"
"雙城夜市","3.41","3.49","4.48","6.04","0.36","3.56","1.65","1.66","1.38","0.39","0.15","1.11","一"
"台北市大同區京站百貨(服務台)","6.10","4.14","2.18","4.59","0.81","3.56","0.50","0.86","0.84","0.34","0.54","0.58","一"
"台北市大稻埕碼頭五號水門口","4.45","7.74","5.32","3.81","0.86","4.44","1.23","1.54","1.29","0.33","0.61","1.00","一"
"台北市迪化街永樂市場一樓(側門)","7.18","7.00","7.16","4.25","1.80","5.48","1.06","1.66","0.64","0.18","0.58","0.82","一"
"台北市迪化街歸綏街交叉路口","3.13","2.95","7.00","5.12","2.25","4.09","0.70","0.54","1.48","0.34","0.60","0.73","一"
"捷運民權西路站(售票口)","7.76","2.35","6.19","6.47","1.30","4.81","0.93","0.57","0.49","0.34","0.69","0.60","一"
"大安森林公園兒童遊戲區","7.42","5.84","4.90","2.86","0.59","4.32","1.82","1.53","0.64","0.33","0.48","0.96","一"
"台大綜合體育館(大門口)","2.40","2.89","4.06","4.30","0.69","2.87","1.23","1.54","1.33","0.32","0.61","0.99","一"
"永康街6巷(永業書店前)","8.03","3.63","4.95","5.13","2.12","4.77","1.10","1.29","0.49","0.34","0.69","0.78","一"
"信義路二段鼎泰豐","7.88","4.21","8.58","5.79","1.34","5.56","1.70","1.28","0.60","0.34","0.67","0.92","一"
"師大夜市入口","3.84","2.32","3.13","2.27","1.78","2.67","0.97","0.71","1.10","0.18","0.71","0.69","一"
"台北市立美術館(大門口)","1.50","1.21","1.28","5.72","2.21","2.39","1.23","1.69","1.12","0.39","0.57","1.00","一"
"行天宮正門","3.26","1.80","2.75","1.39","1.38","2.12","1.18","1.05","0.93","0.33","0.55","0.81","一"
"忠烈祠正門","4.14","6.75","1.17","2.91","2.54","3.50","1.46","1.96","0.91","0.11","0.65","1.02","一"
"花博公園-圓山園區(花博美食商城)","7.66","7.92","4.66","4.13","1.40","5.15","2.02","1.15","1.39","0.39","0.47","1.08","一"
"美麗華百貨1F中庭","1.96","1.67","3.04","2.32","2.44","2.29","1.70","1.89","1.50","0.06","0.69","1.32","一"
"捷運圓山站出入口","5.54","5.52","6.40","3.83","0.70","4.40","1.85","1.13","1.32","0.39","0.44","1.03","一"
"中正紀念堂","5.27","3.31","5.51","5.48","3.58","4.63","0.47","1.71","0.81","0.39","1.37","0.95","一"
"公館夜市","4.21","2.54","7.22","5.52","3.15","4.53","0.60","0.15","1.08","0.38","1.98","0.84","一"
"台北車站售票大廳","4.77","2.32","4.48","3.82","3.03","3.69","0.71","0.24","0.78","0.38","1.32","0.69","一"
"台北植物園大門口","3.83","6.15","3.11","5.05","2.17","4.06","0.76","1.67","1.12","0.38","1.78","1.17","一"
"光華商場大門口","5.86","5.57","3.51","3.31","3.29","4.31","0.78","1.69","1.12","0.35","1.96","1.18","一"
"高鐵台北車站售票處","0.82","3.00","2.61","6.08","3.12","3.13","0.02","1.63","0.59","0.39","0.82","0.69","一"
"三軍總醫院(掛號處)","3.35","4.76","1.69","4.79","3.82","3.68","0.65","1.08","0.52","0.33","0.51","0.63","一"
"內湖科學園區瑞光路基湖路口","1.38","2.22","4.21","2.67","3.67","2.83","0.70","0.52","1.05","0.31","0.54","0.62","一"
"內湖家樂福(美食街)","8.32","3.75","3.48","3.28","1.84","4.13","0.91","1.00","1.00","0.34","0.51","0.75","一"
"基河國宅","7.87","6.88","5.25","1.08","2.68","4.75","0.90","1.23","1.08","0.28","0.43","0.78","一"
"捷運大湖公園站","7.79","7.48","5.02","0.74","4.46","5.10","0.75","1.19","1.02","0.28","0.46","0.74","一"
"木柵動物園(售票口)","6.48","4.34","2.33","3.74","2.40","3.86","1.73","1.18","0.63","0.33","0.67","0.91","一"
"捷運動物園站(候車處)","6.68","3.12","7.36","5.51","2.45","5.02","1.54","1.14","0.65","0.34","0.66","0.87","一"
"捷運萬芳社區站(候車處)","9.09","4.72","4.72","3.87","2.40","4.96","1.78","1.30","1.12","0.33","0.68","1.04","一"
"貓空纜車動物園站(售票口)","8.08","2.72","4.73","3.77","1.99","4.26","1.56","1.49","0.62","0.31","0.65","0.92","一"
"北投溫泉博物館","5.25","5.44","6.65","0.96","3.62","4.38","0.64","0.65","1.13","0.28","0.53","0.65","一"
"明德捷運站","5.18","5.94","4.69","5.69","3.83","5.07","0.73","1.22","0.94","0.34","0.46","0.74","一"
"振興醫院1F服務台","5.18","8.61","3.52","3.83","1.50","4.53","0.85","0.95","0.66","0.34","0.32","0.61","一"
"陽明山北投花鐘時鐘旁","0.02","4.21","0.83","0.39","0.00","1.45","0.01","1.15","0.74","0.20","0.00","0.48","一"
"新北投捷運站","2.91","4.74","4.95","2.31","3.44","3.67","0.53","1.04","0.90","0.30","0.52","0.70","一"
"小巨蛋服務台前","7.76","4.91","5.74","5.91","3.49","5.61","0.84","0.33","0.96","0.34","0.53","0.62","一"
"松山車站B1售票大廳售票口","6.73","1.88","1.31","3.12","4.18","3.44","0.79","0.41","0.70","0.06","0.32","0.45","一"
"松山機場大廳松山第一航廈入境出口(國際)","4.74","6.87","3.14","1.00","2.32","3.61","0.79","0.66","0.93","0.28","0.40","0.61","一"
"國軍松山醫院","3.89","0.83","4.44","0.32","2.53","2.40","0.86","0.99","0.86","0.27","0.42","0.71","一"
"微風廣場美食街B1","8.53","8.20","5.99","5.33","0.07","5.62","0.86","1.06","1.10","0.33","0.05","0.68","一"
"台北101一樓大廳","6.05","4.88","4.48","5.93","1.73","4.61","1.69","0.94","0.63","0.34","0.65","0.85","一"
"台北世貿一館一樓(服務台)","2.81","5.20","5.41","2.84","0.96","3.44","0.63","1.40","0.63","0.26","0.47","0.63","一"
"台北市政府(松智路服務台)","10.92","7.44","8.57","6.57","1.11","6.92","1.62","0.52","0.61","0.34","0.80","0.78","一"
"松山文創中心琉璃工房前","3.65","1.34","0.75","1.76","0.86","1.67","0.65","0.21","0.94","0.29","0.64","0.52","一"
"國父紀念館服務台(西門)","7.38","8.70","7.62","0.76","1.83","5.26","1.36","1.68","0.65","0.27","0.69","0.93","一"
"華納威秀影城售票口","5.84","7.34","8.04","6.06","0.97","5.65","1.41","1.54","0.81","0.34","0.48","0.92","一"
"新光三越服務台(1樓)","9.56","5.91","9.10","5.37","1.51","6.29","1.67","1.37","0.65","0.34","0.67","0.94","一"
"南港家樂福B1","8.14","6.44","3.59","4.96","2.10","5.05","0.91","1.20","1.09","0.33","0.46","0.80","一"
"南港展覽館","8.80","0.83","3.46","4.79","3.58","4.26","0.83","0.80","1.04","0.34","0.46","0.72","一"
"南港遠東科學園區","4.00","8.59","4.51","3.39","0.77","4.25","0.63","1.20","1.05","0.31","0.44","0.73","一"
"捷運南港軟體園區站","2.64","4.98","2.70","2.59","3.49","3.28","0.56","1.07","1.17","0.30","0.55","0.73","一"
"聯合醫院忠孝院區領藥處","0.53","4.83","7.81","2.47","0.31","3.40","0.01","0.83","1.05","0.32","0.07","0.49","一"
"西門紅樓前廣場","2.84","4.92","5.17","4.85","2.90","4.14","0.81","1.13","0.59","0.32","0.51","0.67","一"
"華西街觀光夜市牌樓","4.32","6.45","3.37","5.20","1.57","4.18","0.45","1.10","0.79","0.32","0.43","0.62","一"
"萬年商業大樓1F","7.30","9.16","5.86","3.04","2.73","5.62","0.84","1.10","0.63","0.34","0.32","0.65","一"
"誠品商場西門店B1","6.41","4.75","10.58","2.11","3.28","5.43","0.77","0.89","1.04","0.17","0.49","0.67","一"
"龍山寺大門口","7.66","4.95","5.85","2.69","3.18","4.86","0.83","0.59","1.14","0.34","0.50","0.68","一"
"新竹市","","","","","","","","","","","","",""
"南寮漁港產品直銷中心","5.56","6.72","6.16","5.05","4.37","5.57","0.84","1.05","1.15","0.32","0.55","0.78","一"
"新竹文化中心","7.69","3.79","2.10","6.06","2.50","4.43","0.80","1.16","0.78","0.34","0.59","0.73","一"
"新竹市政府","7.39","3.03","7.39","3.02","2.16","4.60","0.88","1.05","1.04","0.32","0.48","0.76","一"
"新竹城隍廟口","7.45","6.32","6.32","2.95","2.05","5.02","0.85","1.10","1.23","0.33","0.40","0.78","一"
"新竹COSTCO(門口)","8.11","4.56","5.93","1.87","1.33","4.36","1.76","0.90","1.46","0.31","0.64","1.01","一"
"新竹世博館大門(售票處)","7.06","5.48","8.27","6.07","2.30","5.84","1.56","1.52","0.52","0.34","0.64","0.92","一"
"新竹科學園區管理局大門口","8.20","2.04","6.68","5.02","0.61","4.51","1.55","1.18","1.38","0.34","0.52","0.99","一"
"新竹動物園(售票處)","7.32","10.44","6.56","4.31","2.20","6.16","1.23","1.75","1.42","0.34","0.68","1.09","一"
"新竹青青草原櫻花大道入口(賞櫻街)","6.60","7.12","6.90","4.70","0.89","5.24","1.23","1.62","1.27","0.34","0.21","0.93","一"
"新竹香山火車站(售票處)","7.09","8.80","5.97","0.33","1.49","4.73","1.76","1.67","1.47","0.23","0.68","1.23","一"
"新竹港南風景區大門口","10.32","11.04","6.30","0.25","1.70","5.92","1.66","1.65","1.51","0.07","0.50","1.08","一"
"新竹縣","","","","","","","","","","","","",""
"竹北火車站售票處","6.26","11.15","2.14","5.75","1.72","5.40","1.64","1.89","1.03","0.39","1.13","1.22","一"
"竹北夜市","6.64","6.26","6.10","5.53","1.57","5.22","1.60","1.93","1.57","0.39","2.44","1.58","一"
"竹北家樂福二樓服務中心","5.24","5.39","4.76","1.96","1.75","3.82","2.00","1.67","1.59","0.31","0.53","1.22","一"
"新竹縣體育場","3.70","2.70","3.62","2.90","0.50","2.68","1.92","1.66","1.54","0.35","0.70","1.23","一"
"竹東火車站站前廣場","8.07","6.02","7.10","5.32","2.78","5.86","0.90","1.06","0.95","0.34","0.52","0.75","一"
"竹東鎮公所大門口前","7.91","10.06","2.99","5.20","3.13","5.86","0.90","1.15","1.12","0.32","0.52","0.80","一"
"新竹客運竹東站","8.73","7.73","5.23","1.74","2.20","5.13","0.95","1.18","1.18","0.29","0.54","0.83","一"
"新竹縣湖口火車站售票處","5.99","3.56","5.93","5.01","1.83","4.46","0.47","1.05","0.65","0.34","0.69","0.64","一"
"新竹縣湖口鄉公所大門口","7.27","6.63","3.65","5.17","1.93","4.93","1.74","1.45","0.64","0.34","0.65","0.96","一"
"新竹縣湖口營區門口","5.64","5.22","5.07","6.45","0.58","4.59","1.54","0.76","0.30","0.34","0.59","0.71","一"
"新竹縣新豐火車站(售票處)","8.57","10.76","2.36","1.32","2.68","5.14","0.89","1.10","0.80","0.30","0.57","0.73","一"
"新竹縣新豐鄉公所","6.64","8.37","6.18","0.32","6.02","5.51","0.87","1.15","1.12","0.18","0.58","0.82","一"
"新竹縣鳳嶺玄天宮門口","9.42","11.95","6.50","5.53","1.68","7.02","0.92","1.17","1.13","0.34","0.49","0.81","一"
"彰化縣","","","","","","","","","","","","",""
"大村火車站","6.50","9.53","4.58","3.85","2.07","5.30","1.91","1.57","1.26","0.38","1.88","1.40","一"
"雅育休閒農場","2.24","5.66","5.27","0.32","2.24","3.15","1.34","1.87","1.57","0.26","1.92","1.39","一"
"慈雲寺","7.96","6.69","9.35","3.69","2.53","6.04","1.93","1.66","1.38","0.36","1.73","1.41","一"
"北斗河濱公園","7.13","4.48","6.83","3.67","0.83","4.59","1.84","0.29","0.89","0.31","0.68","0.80","一"
"北斗鎮公所門口","6.51","6.96","7.28","5.15","0.63","5.31","1.71","0.97","0.64","0.34","0.65","0.86","一"
"奠安宮廟口","4.94","4.47","4.15","3.75","0.62","3.58","1.71","1.53","0.29","0.32","0.64","0.90","一"
"85度C","5.50","2.73","6.43","0.32","0.71","3.34","1.92","1.27","2.00","0.28","1.46","1.56","一"
"永靖火車站","4.37","6.40","5.68","0.45","1.07","3.60","2.08","1.66","1.59","0.12","1.66","1.52","一"
"永靖鄉公所大門","6.91","6.37","3.37","5.46","0.72","4.57","1.95","1.65","1.60","0.46","1.21","1.37","一"
"田中火車站","7.90","7.75","10.02","3.50","3.12","6.46","2.18","1.68","1.37","0.36","2.47","1.61","一"
"田中鎮公所","7.33","7.60","5.92","2.20","0.94","4.80","2.01","1.99","1.33","0.30","1.22","1.38","一"
"田中鎮乾德宮","6.20","7.80","4.68","3.37","3.44","5.10","1.99","1.86","1.13","0.36","1.98","1.46","一"
"田尾花卉批發市場","3.26","7.60","4.60","0.32","0.22","3.20","1.19","1.95","1.99","0.29","0.49","1.18","一"
"田尾鄉公所","7.28","5.41","5.94","0.23","0.32","3.84","2.17","1.68","1.51","0.23","0.37","1.19","一"
"怡心園大門口","6.91","7.43","5.80","4.97","0.89","5.20","2.17","1.68","0.58","0.38","0.71","1.10","一"
"伸港鄉公所","8.33","7.76","5.92","3.15","0.30","5.09","2.02","1.65","1.41","0.33","0.05","1.25","一"
"伸港福安宮","8.01","9.27","5.08","3.36","2.36","5.61","1.96","1.65","1.16","0.35","1.94","1.41","一"
"張玉姑廟","4.83","4.50","3.28","2.27","2.33","3.45","2.12","1.76","1.40","0.35","2.45","1.61","一"
"秀水公園","4.62","9.34","2.37","0.32","1.80","3.69","1.89","1.81","0.83","0.28","0.57","1.20","一"
"秀水鄉公所","4.15","4.73","4.22","4.37","1.35","3.76","0.59","1.71","1.61","0.46","0.50","0.97","一"
"益源古厝庭院","9.40","9.06","6.21","3.78","1.76","6.04","2.12","1.90","1.65","0.35","0.62","1.33","一"
"和美鎮公所","6.48","6.40","4.56","4.52","4.95","5.38","2.06","1.67","1.24","0.39","1.86","1.44","一"
"道東書院","7.80","7.44","6.41","4.19","2.38","5.64","2.09","1.51","1.61","0.39","1.92","1.50","一"
"德美公園(和頭路)","4.87","3.03","5.21","2.28","4.03","3.88","2.08","1.77","1.40","0.24","2.12","1.52","一"
"社頭火車站","6.26","8.19","4.39","1.88","2.93","4.73","2.09","1.57","1.77","0.31","2.16","1.58","一"
"社頭鄉公所","4.22","4.10","7.10","2.00","4.54","4.39","1.90","1.38","1.56","0.30","2.42","1.51","一"
"清水岩寺","5.63","4.15","5.32","1.49","0.84","3.48","1.98","1.97","1.94","0.28","1.75","1.58","一"
"芬園鄉公所門口","10.18","6.61","6.92","3.99","0.38","5.62","2.14","1.82","1.42","0.51","0.38","1.25","一"
"芬園寶藏寺入口","4.78","3.44","4.65","0.28","1.92","3.01","0.30","1.90","1.40","0.25","0.47","0.86","一"
"祥光寺門口","2.86","1.99","3.69","2.14","0.67","2.27","2.10","1.88","1.36","0.44","0.57","1.27","一"
"白沙坑文德宮","2.16","3.64","6.76","3.22","1.89","3.53","1.96","0.80","1.59","0.36","0.72","1.02","一"
"花壇火車站","8.55","5.56","4.19","3.69","4.09","5.22","1.97","1.56","0.94","0.38","2.26","1.42","一"
"花壇鄉公所","5.91","4.28","5.20","4.71","4.68","4.95","2.04","1.68","1.26","0.38","1.45","1.36","一"
"百果山廣天宮門口","1.03","1.77","1.61","6.17","0.08","2.13","1.53","1.10","0.64","0.37","0.60","0.86","一"
"員林火車站候車處","6.77","5.82","6.40","4.64","0.87","4.90","1.67","1.49","0.58","0.34","0.47","0.91","一"
"員林鎮公所大門口","8.05","4.24","9.19","3.95","1.62","5.41","1.65","1.18","0.63","0.27","0.75","0.90","一"
"大潤發美食街","1.32","6.74","6.64","0.28","6.41","4.28","0.65","1.76","1.39","0.29","1.54","1.16","一"
"埔心鄉公所","3.90","8.05","4.11","0.67","0.66","3.68","1.58","1.78","1.06","0.29","1.59","1.33","一"
"路葡萄隧道休閒農場","7.00","6.85","3.39","0.32","1.48","3.81","2.13","1.28","1.43","0.25","1.45","1.38","一"
