"RouteID","RouteName","RouteQueryCode"
"113","812","113"
"131","藍31","131"
"141","8","141"
"1112","綠9","1112"
"211","802","211"
"5312","藍21","5312"
"5230","紅51","5230"
"226","927","226"
"190","779","190"
"5243","870","5243"
"5239","874","5239"
"7005","F721","7005"
"1015","F111新民返","1015"
"1020","F133後店","1020"
"8029","F822","8029"
"8031","F823返","8031"
"2035","F223去","2035"
"5229","紅28直","5229"
"1040","F151-1655","1040"
"1059","F151-1800","1059"
"1075","F102返","1075"
"5623","886","5623"
"2008","F233返","2008"
"9014","F901去","9014"
"9020","F903返","9020"
"6014","F631去","6014"
"6029","F606","6029"
"1058","F151-1000","1058"
"803","橘18福隆路","803"
"5663","789","5663"
"127","795往十分寮","127"
"128","795往平溪","128"
"482","945","482"
"484","946副","484"
"5209","紅37去","5209"
"157","656","157"
"9997","曙光專車","9997"
"5410","896","5410"
"5215","631","5215"
"485","985","485"
"5672","瑞芳-南山橋天燈","5672"
"436","635","436"
"438","640","438"
"413","857","413"
"9056","F920去延","9056"
"9057","F920返","9057"
"5420","678","5420"
"111","201","111"
"115","242","115"
"116","243","116"
"5193","813區間","5193"
"331","913","331"
"9901","台2線","9901"
"5164","951","5164"
"492","986","492"
"2043","F237副去","2043"
"9059","F919八連去","9059"
"5154","897","5154"
"232","環狀直達新埔線","232"
"2045","F212副","2045"
"8032","F812去","8032"
"8034","F813","8034"
"5601","953","5601"
"5674","暖暖-十分天燈","5674"
"5257","853跳蛙","5257"
"5123","836","5123"
"7021","F703","7021"
"5656","791經貢寮區衛生","5656"
"3016","F301下午","3016"
"1004","F138內橫山","1004"
"5675","788返水湳洞","5675"
"1203","F203","1203"
"1206","F206","1206"
"196","三峽-永寧跳蛙","196"
"1079","F139往三芝","1079"
"265","藍43延南天母","265"
"5602","953","5602"
"490","786區","490"
"7023","F706惠國市場","7023"
"474","958","474"
"1810","810","1810"
"162","藍17","162"
"323","綠15","323"
"5622","829","5622"
"423","785","423"
"102","三峽-台大醫院","102"
"5618","856","5618"
"175","851","175"
"189","778","189"
"5249","867","5249"
"811","937","811"
"7006","F722","7006"
"7007","F723","7007"
"2014","F237返","2014"
