"lineid","car","time","location","longitude","latitude","cityid","cityname"
"234044","148-BY","2018/01/02 13:09:42","新北市永和區永元路18巷39號","121.524175","25.0003816666667","6500400","永和區"
"234012","149-BY","2018/01/02 13:09:39","新北市永和區保福路二段48號","121.510943333333","25.0121566666667","6500400","永和區"
"234005","207-UY","2018/01/02 13:09:36","新北市永和區中山路一段138-1號","121.51014","25.0098316666667","6500400","永和區"
"234078","298-R6","2018/01/02 13:09:44","新北市永和區福和路57巷7號","121.523035","25.007495","6500400","永和區"
"234036","336-UY","2018/01/02 13:09:53","新北市永和區民樂街71巷2號","121.527418333333","24.9974166666667","6500400","永和區"
"234062","337-UY","2018/01/02 13:09:47","新北市永和區秀朗路二段50-2號","121.52185","25.002025","6500400","永和區"
"234084","338-UY","2018/01/02 13:09:52","新北市永和區永貞路110號","121.518906666667","25.0044716666667","6500400","永和區"
"234052","553-UM","2018/01/02 13:09:50","新北市永和區中興街133巷12號","121.518443333333","25.0127183333333","6500400","永和區"
"234015","745-BX","2018/01/02 13:09:55","新北市永和區文化路90巷15弄1號","121.513816666667","25.0159083333333","6500400","永和區"
"234060","AAD-866","2018/01/02 13:09:49","新北市永和區安樂路304巷7號","121.5145","25.0051266666667","6500400","永和區"
"234068","847-RS","2018/01/02 13:09:47","新北市永和區豫溪街137巷1弄10號","121.519178333333","25.01049","6500400","永和區"
"234040","862-TW","2018/01/02 13:09:47","新北市永和區永和路一段49巷3弄24號","121.512046666667","25.0064266666667","6500400","永和區"
"234048","863-TW","2018/01/02 13:09:53","新北市永和區文化路135巷28號","121.510738333333","25.0142316666667","6500400","永和區"
"234025","9371-KE","2018/01/02 13:09:56","新北市永和區永和路一段78號","121.513116666667","25.006285","6500400","永和區"
"234010","9373-KE","2018/01/02 13:09:45","新北市永和區仁愛路31巷2弄15號","121.513575","25.0128683333333","6500400","永和區"
"248017","225-UY","2018/01/02 13:09:41","新北市五股區成泰路三段101-1號","121.444275","25.0899933333333","6501500","五股區"
"234022","9380-KE","2018/01/02 13:09:50","新北市永和區中興街20號","121.516053333333","25.0118783333333","6500400","永和區"
"234076","969-R7","2018/01/02 13:09:50","新北市永和區民光街16號","121.51573","24.995975","6500400","永和區"
"234072","AAC-211","2018/01/02 13:09:53","新北市永和區竹林路174號","121.520336666667","25.009995","6500400","永和區"
"234066","AAC-212","2018/01/02 13:09:40","新北市永和區永和路一段67號","121.512895","25.0071333333333","6500400","永和區"
"234001","AAC-295","2018/01/02 13:09:52","新北市永和區和平街2號","121.51425","25.01006","6500400","永和區"
"244002","248-BX","2018/01/02 13:09:53","新北市林口區頭湖74-3號","121.365251666667","25.08852","6501700","林口區"
"231002","001-UM","2018/01/02 13:09:46","新北市新店區安華路28-1號","121.519548333333","24.9608133333333","6500600","新店區"
"231037","0293-UT","2018/01/02 13:09:46","新北市新店區安華路28-1號","121.519581666667","24.960585","6500600","新店區"
"231028","046-UY","2018/01/02 13:09:44","新北市新店區安華路28-1號","121.51958","24.9607316666667","6500600","新店區"
"231030","047-UY","2018/01/02 13:09:41","新北市新店區安華路28-1號","121.519098333333","24.9609466666667","6500600","新店區"
"231029","106-UY","2018/01/02 13:09:41","新北市新店區安華路28-1號","121.519578333333","24.960765","6500600","新店區"
"231018","107-UY","2018/01/02 13:09:54","新北市新店區安康路一段319號","121.522185","24.9636583333333","6500600","新店區"
"231012","108-UY","2018/01/02 13:09:48","新北市新店區安華路28-1號","121.51968","24.96075","6500600","新店區"
"231020","187-VK","2018/01/02 13:09:40","新北市新店區安康路一段355-3號","121.5198","24.9622416666667","6500600","新店區"
"231035","188-VK","2018/01/02 13:09:45","新北市新店區安華路28-1號","121.519521666667","24.9612233333333","6500600","新店區"
"231015","KEA-2219","2018/01/02 13:09:53","新北市新店區安華路28-1號","121.519691666667","24.961235","6500600","新店區"
"231026","256-BX","2018/01/02 13:09:40","新北市新店區安華路28-1號","121.519648333333","24.9611316666667","6500600","新店區"
"231034","268-BY","2018/01/02 13:09:52","新北市新店區安華路28-1號","121.519433333333","24.9606483333333","6500600","新店區"
"231010","278-BY","2018/01/02 00:55:38","新北市新店區安華路28-1號","121.519573333333","24.9611083333333","6500600","新店區"
"231023","AAD-862","2018/01/02 13:09:43","新北市新店區安華路28-1號","121.51978","24.9612466666667","6500600","新店區"
"231027","3712-VJ","2018/01/02 13:09:40","新北市新店區安華路28-1號","121.519263333333","24.9605833333333","6500600","新店區"
"231025","3713-VJ","2018/01/02 13:09:56","新北市新店區安康路一段355-3號","121.519828333333","24.9625066666667","6500600","新店區"
"231024","4716-K9","2018/01/02 13:09:39","新北市新店區安華路28-1號","121.519086666667","24.9612016666667","6500600","新店區"
"231038","4715-K9","2018/01/02 13:09:52","新北市新店區安華路1-1號","121.519491666667","24.960405","6500600","新店區"
"231036","512-UM","2018/01/02 13:09:35","新北市新店區安華路28-1號","121.519435","24.9612466666667","6500600","新店區"
"231006","617-UM","2018/01/02 12:57:45","新北市新店區安華路28-1號","121.519415","24.9608933333333","6500600","新店區"
"231001","619-UM","2018/01/02 13:09:51","新北市新店區安華路28-1號","121.519548333333","24.96091","6500600","新店區"
"231003","641-BX","2018/01/02 13:09:46","新北市新店區安華路28-1號","121.519566666667","24.9605166666667","6500600","新店區"
"231013","719-UM","2018/01/02 13:09:37","新北市新店區安華路28-1號","121.519483333333","24.96121","6500600","新店區"
